elapsed_s,channels_touched_so_far,server_mem_rss_mb,client_mem_rss_mb
0.0,0,1087.04,0.82
1.0,0,1133.79,39.04
2.0,0,1133.81,39.23
3.0,20,1133.84,39.39
4.0,20,1133.86,39.54
5.0,20,1133.89,39.73
6.0,40,1133.91,39.87
7.0,40,1133.93,40.04
8.0,40,1133.96,40.21
9.0,60,1133.97,40.36
10.0,60,1134.01,40.52
11.0,60,1134.04,40.69
12.0,80,1134.07,40.84
13.0,80,1134.08,41.01
14.0,80,1134.12,41.18
15.0,100,1134.14,41.32
16.0,100,1134.16,41.49
17.0,100,1134.21,41.65
18.0,120,1134.22,41.8
19.0,120,1134.26,41.99
20.0,120,1134.29,42.2
21.0,140,1134.32,42.36
22.0,140,1134.33,42.58
23.0,160,1134.37,42.75
24.0,160,1134.39,42.96
25.0,180,1134.43,43.19
26.0,180,1134.44,43.33
27.0,180,1134.48,43.52
28.0,200,1134.49,43.7
29.0,200,1134.5,43.87
30.1,200,1134.54,44.08
31.1,220,1134.55,44.25
32.1,220,1134.57,44.46
33.1,240,1134.57,44.65
34.1,240,1134.61,44.84
35.1,240,1134.63,45.05
36.1,260,1134.64,45.2
37.1,260,1134.66,45.41
38.1,280,1134.68,45.6
39.1,280,1134.71,45.77
40.1,280,1134.71,45.98
41.1,300,1134.73,46.11
42.1,300,1134.77,46.33
43.1,320,1134.78,46.55
44.1,320,1134.79,46.68
45.1,320,1134.85,46.9
46.1,340,1134.89,47.09
47.1,340,1134.91,47.31
48.1,360,1134.98,47.52
49.1,360,1135.0,47.66
50.1,360,1135.01,47.88
51.1,380,1135.02,48.05
52.1,380,1135.08,48.23
53.1,400,1135.11,48.44
54.1,400,1135.12,48.58
55.1,400,1135.19,48.8
56.1,420,1135.21,48.94
57.1,420,1135.21,49.17
58.1,440,1135.29,49.37
59.1,440,1135.29,49.51
60.1,440,1135.31,49.73
61.1,460,1135.32,49.88
62.1,460,1135.38,50.1
63.1,480,1135.42,50.33
64.1,480,1135.42,50.48
65.1,480,1135.48,50.69
66.1,500,1135.49,50.86
67.1,500,1135.52,51.13
68.1,520,1135.53,51.35
69.1,520,1135.59,51.48
70.1,520,1135.61,51.7
71.1,540,1135.61,51.86
72.1,540,1135.68,52.05
73.1,540,1135.7,52.26
74.1,560,1135.71,52.41
75.1,560,1135.72,52.62
76.1,580,1135.79,52.81
77.1,580,1135.81,52.98
78.1,580,1135.82,53.19
79.1,600,1135.83,53.3
80.1,600,1135.9,53.52
81.1,620,1135.92,53.74
82.1,620,1135.93,53.88
83.1,620,1136.0,54.04
84.1,640,1136.02,54.21
85.1,640,1136.02,54.33
86.1,640,1136.03,54.49
87.1,660,1136.09,54.68
88.1,660,1136.12,54.8
89.1,660,1136.12,54.97
90.1,680,1136.15,55.16
91.1,680,1136.2,55.31
92.1,680,1136.22,55.48
93.1,700,1136.22,55.64
94.1,700,1136.25,55.76
95.1,700,1136.32,55.95
96.1,700,1136.32,56.11
97.1,720,1136.34,56.23
98.1,720,1136.38,56.41
99.1,720,1136.42,56.59
100.1,740,1136.43,56.71
101.1,740,1136.43,56.87
102.1,740,1136.5,57.06
103.1,760,1136.52,57.15
104.1,760,1136.54,57.32
105.1,760,1136.55,57.48
106.1,780,1136.61,57.61
107.1,780,1136.63,57.8
108.1,780,1136.64,57.93
109.1,800,1136.65,58.1
110.1,800,1136.71,58.29
111.1,800,1136.74,58.45
112.1,820,1136.74,58.57
