elapsed_s,channels_touched_so_far,server_mem_rss_mb,client_mem_rss_mb
0.0,0,1083.57,0.27
1.0,0,1133.81,39.01
2.0,0,1133.84,39.02
3.0,0,1133.86,39.02
4.0,20,1133.89,39.02
5.0,20,1133.9,39.02
6.0,20,1133.93,39.03
7.0,40,1133.94,39.03
8.0,40,1133.95,39.03
9.0,40,1133.97,39.03
10.0,60,1133.98,39.04
11.0,60,1134.01,39.04
12.0,60,1134.02,39.05
13.0,60,1134.05,39.05
14.0,80,1134.05,39.05
15.0,80,1134.07,39.05
16.0,80,1134.09,39.05
17.0,100,1134.1,39.05
18.0,100,1134.13,39.06
19.0,100,1134.14,39.06
20.0,120,1134.17,39.06
21.0,120,1134.18,39.06
22.0,120,1134.21,39.07
23.0,140,1134.21,39.07
24.0,140,1134.25,39.07
25.0,140,1134.25,39.07
26.0,160,1134.29,39.07
27.0,160,1134.29,39.07
28.0,160,1134.3,39.07
29.0,180,1134.3,39.07
30.0,180,1134.3,39.07
31.1,180,1134.33,39.07
32.1,200,1134.34,39.07
33.1,200,1134.34,39.08
34.1,200,1134.34,39.08
35.1,200,1134.34,39.08
36.1,220,1134.37,39.08
37.1,220,1134.38,39.08
38.1,220,1134.38,39.08
39.1,240,1134.38,39.08
40.1,240,1134.39,39.08
41.1,240,1134.41,39.08
42.1,240,1134.43,39.09
43.1,260,1134.43,39.09
44.1,260,1134.43,39.09
45.1,260,1134.46,39.09
46.1,280,1134.46,39.09
47.1,280,1134.47,39.09
48.1,280,1134.47,39.09
49.1,280,1134.48,39.09
50.1,300,1134.5,39.09
51.1,300,1134.51,39.09
52.1,300,1134.51,39.09
53.1,320,1134.52,39.09
54.1,320,1134.52,39.1
55.1,320,1134.57,39.1
56.1,320,1134.58,39.1
57.1,340,1134.59,39.1
58.1,340,1134.59,39.1
59.1,340,1134.6,39.1
60.1,360,1134.65,39.1
61.1,360,1134.66,39.1
62.1,360,1134.67,39.1
63.1,360,1134.67,39.1
64.1,380,1134.67,39.11
65.1,380,1134.73,39.11
66.1,380,1134.74,39.11
67.1,400,1134.74,39.11
68.1,400,1134.75,39.11
69.1,400,1134.77,39.11
70.1,420,1134.8,39.11
71.1,420,1134.82,39.11
72.1,420,1134.82,39.11
73.1,420,1134.82,39.11
74.1,440,1134.87,39.11
75.1,440,1134.88,39.11
76.1,440,1134.89,39.11
77.1,440,1134.89,39.11
78.1,460,1134.89,39.11
79.1,460,1134.95,39.12
80.1,460,1134.95,39.12
81.1,480,1134.96,39.12
82.1,480,1134.96,39.12
83.1,480,1134.97,39.12
84.1,480,1135.02,39.12
85.1,500,1135.04,39.12
86.1,500,1135.05,39.12
87.1,500,1135.06,39.12
88.1,500,1135.08,39.12
89.1,520,1135.13,39.12
90.1,520,1135.14,39.12
91.1,520,1135.14,39.12
92.1,520,1135.15,39.12
93.1,540,1135.16,39.12
94.1,540,1135.21,39.12
95.1,540,1135.22,39.13
96.1,540,1135.22,39.13
97.1,560,1135.23,39.13
98.1,560,1135.24,39.13
99.1,560,1135.29,39.13
100.1,560,1135.3,39.13
101.1,580,1135.3,39.13
102.1,580,1135.31,39.13
103.1,580,1135.36,39.13
104.1,580,1135.38,39.13
105.1,600,1135.38,39.13
106.1,600,1135.38,39.14
107.2,600,1135.39,39.14
108.2,600,1135.43,39.14
109.2,620,1135.44,39.14
110.2,620,1135.46,39.14
111.2,620,1135.46,39.14
112.2,620,1135.46,39.14
113.2,640,1135.49,39.14
114.2,640,1135.52,39.14
115.2,640,1135.54,39.14
116.2,640,1135.54,39.14
117.2,660,1135.54,39.14
118.2,660,1135.54,39.14
119.2,660,1135.6,39.14
120.2,660,1135.61,39.14
121.2,680,1135.61,39.15
122.2,680,1135.62,39.15
123.2,680,1135.63,39.15
124.2,680,1135.68,39.15
125.2,700,1135.69,39.15
126.2,700,1135.7,39.15
127.2,700,1135.7,39.15
128.2,700,1135.75,39.15
129.2,720,1135.76,39.15
130.2,720,1135.77,39.15
131.2,720,1135.77,39.15
132.2,720,1135.78,39.16
133.2,720,1135.83,39.16
134.2,740,1135.84,39.16
135.2,740,1135.85,39.16
136.2,740,1135.85,39.16
137.2,740,1135.86,39.16
138.2,760,1135.86,39.16
139.2,760,1135.91,39.16
140.2,760,1135.93,39.16
141.2,760,1135.93,39.16
142.2,780,1135.94,39.16
143.2,780,1135.98,39.16
144.2,780,1135.99,39.16
145.2,780,1136.01,39.16
146.2,800,1136.01,39.16
147.2,800,1136.02,39.16
148.2,800,1136.02,39.16
149.2,800,1136.07,39.17
150.2,820,1136.09,39.17
151.2,820,1136.09,39.17
152.2,820,1136.09,39.17
153.2,820,1136.1,39.17
154.2,840,1136.15,39.17
155.2,840,1136.16,39.17
156.2,840,1136.16,39.17
157.2,840,1136.17,39.17
158.2,860,1136.17,39.17
159.2,860,1136.23,39.17
160.2,860,1136.24,39.18
161.2,860,1136.24,39.18
162.2,880,1136.24,39.18
163.2,880,1136.25,39.18
164.2,880,1136.3,39.18
165.2,880,1136.32,39.18
166.2,900,1136.32,39.18
167.2,900,1136.32,39.18
168.2,900,1136.33,39.18
169.2,900,1136.38,39.18
170.2,920,1136.4,39.18
171.2,920,1136.4,39.18
172.2,920,1136.4,39.18
173.2,920,1136.41,39.18
174.2,940,1136.46,39.18
175.2,940,1136.48,39.18
176.2,940,1136.48,39.18
177.2,940,1136.48,39.19
178.2,940,1136.49,39.19
179.2,960,1136.54,39.19
180.2,960,1136.55,39.19
181.2,960,1136.55,39.19
182.2,960,1136.56,39.19
183.2,980,1136.56,39.19
184.2,980,1136.62,39.19
185.2,980,1136.63,39.19
186.2,980,1136.63,39.19
187.2,1000,1136.64,39.19
188.2,1000,1136.66,39.19
189.2,1000,1136.72,39.19
190.2,1020,1136.74,39.19
191.2,1020,1136.74,39.19
192.2,1020,1136.75,39.19
193.2,1020,1136.77,39.19
194.2,1040,1136.8,39.19
195.2,1040,1136.82,39.19
196.2,1040,1136.82,39.19
197.2,1060,1136.83,39.19
198.2,1060,1136.84,39.19
199.2,1060,1136.88,39.19
200.2,1060,1136.9,39.19
201.2,1080,1136.9,39.19
202.2,1080,1136.91,39.19
203.2,1080,1136.92,39.19
204.2,1100,1136.96,39.19
205.2,1100,1136.98,39.19
206.2,1100,1136.98,39.19
207.2,1100,1136.98,39.19
208.2,1120,1136.99,39.19
209.2,1120,1137.04,39.19
210.2,1120,1137.05,39.19
211.2,1120,1137.05,39.19
212.3,1140,1137.06,39.19
213.3,1140,1137.11,39.19
214.3,1140,1137.13,39.19
215.3,1160,1137.13,39.19
216.3,1160,1137.13,39.19
217.3,1160,1137.15,39.19
218.3,1160,1137.2,39.19
219.3,1180,1137.21,39.19
220.3,1180,1137.21,39.19
221.3,1180,1137.23,39.19
222.3,1200,1137.28,39.19
223.3,1200,1137.28,39.19
224.3,1200,1137.29,39.19
225.3,1200,1137.3,39.19
226.3,1220,1137.31,39.19
227.3,1220,1137.36,39.19
228.3,1220,1137.37,39.19
229.3,1240,1137.37,39.19
230.3,1240,1137.37,39.19
231.3,1240,1137.39,39.19
232.3,1240,1137.43,39.19
233.3,1260,1137.45,39.19
234.3,1260,1137.45,39.19
235.3,1260,1137.46,39.19
236.3,1280,1137.51,39.19
237.3,1280,1137.51,39.19
238.3,1280,1137.53,39.19
239.3,1280,1137.53,39.19
240.3,1300,1137.54,39.19
241.3,1300,1137.55,39.19
242.3,1300,1137.59,39.19
243.3,1300,1137.61,39.19
244.3,1320,1137.61,39.19
245.3,1320,1137.61,39.19
246.3,1320,1137.62,39.19
247.3,1320,1137.67,39.19
248.3,1340,1137.68,39.19
249.3,1340,1137.68,39.19
250.3,1340,1137.68,39.19
251.3,1340,1137.7,39.19
252.3,1360,1137.75,39.19
253.3,1360,1137.77,39.19
254.3,1360,1137.77,39.19
255.3,1360,1137.78,39.19
256.3,1380,1137.79,39.19
257.3,1380,1137.83,39.19
258.3,1380,1137.84,39.19
259.3,1380,1137.84,39.19
260.3,1400,1137.85,39.19
