round_num,elapsed_s,round_dur_s
0,2.6,2.647
1,5.6,2.652
2,8.6,2.676
3,11.6,2.691
4,14.6,2.707
5,17.6,2.677
6,20.1,2.241
7,22.6,2.189
8,25.0,2.161
9,27.7,2.405
10,30.2,2.171
11,32.7,2.183
12,35.2,2.162
13,37.7,2.275
14,40.3,2.3
15,42.9,2.217
16,45.3,2.184
17,47.8,2.196
18,50.4,2.243
19,53.0,2.3
20,55.5,2.236
21,58.0,2.197
22,60.5,2.215
23,63.0,2.188
24,65.5,2.221
25,68.1,2.27
26,70.7,2.297
27,73.2,2.21
28,75.8,2.286
29,78.4,2.344
30,81.0,2.271
31,84.0,2.708
32,87.1,2.728
33,90.1,2.702
34,93.1,2.731
35,96.2,2.781
36,99.2,2.737
37,102.2,2.737
38,105.4,2.834
39,108.5,2.825
40,111.4,2.614
41,114.4,2.635
42,117.3,2.693
43,120.4,2.71
44,123.6,2.985
45,127.0,3.015
46,130.3,3.058
47,133.5,2.904
48,136.6,2.745
49,139.6,2.737
50,142.5,2.603
51,145.5,2.715
52,148.5,2.717
53,151.6,2.716
54,154.6,2.71
55,157.6,2.701
56,160.6,2.715
57,163.6,2.717
58,166.6,2.71
59,169.6,2.704
60,172.6,2.703
61,175.6,2.711
62,178.6,2.697
63,181.7,2.761
64,184.7,2.709
65,187.7,2.701
66,190.7,2.702
67,193.7,2.708
68,196.7,2.709
69,199.7,2.697
70,202.7,2.706
71,205.7,2.674
72,208.6,2.638
73,211.5,2.602
74,214.0,2.203
75,217.1,2.757
76,220.1,2.727
77,222.7,2.3
78,225.3,2.231
79,228.2,2.658
80,230.9,2.399
81,233.6,2.369
82,236.3,2.409
83,239.0,2.412
84,241.9,2.557
85,244.6,2.44
86,247.3,2.358
87,249.9,2.315
88,252.8,2.6
89,255.7,2.638
90,258.4,2.417
91,261.3,2.575
92,264.3,2.686
93,267.2,2.63
94,270.0,2.506
95,272.9,2.574
96,275.8,2.586
97,278.8,2.686
98,281.7,2.606
99,284.6,2.632
100,287.2,2.248
101,289.8,2.318
102,292.3,2.25
103,294.9,2.275
104,297.5,2.324
105,300.1,2.304
106,302.7,2.243
107,305.4,2.431
108,308.0,2.312
109,310.5,2.207
110,313.1,2.306
111,315.9,2.429
112,318.4,2.243
113,321.2,2.47
114,323.9,2.4
115,326.5,2.367
116,329.2,2.345
117,332.1,2.597
118,334.9,2.546
119,337.9,2.711
120,340.9,2.673
121,343.9,2.676
122,346.9,2.703
123,349.8,2.646
124,352.7,2.541
125,355.5,2.488
126,358.3,2.516
127,361.1,2.513
128,363.9,2.472
129,366.8,2.614
130,369.7,2.596
131,372.5,2.492
132,375.3,2.564
133,378.3,2.652
134,381.2,2.588
135,384.1,2.606
136,387.0,2.621
137,389.9,2.595
138,392.8,2.625
139,395.8,2.678
140,398.7,2.592
141,401.6,2.632
142,404.6,2.705
143,407.6,2.705
144,410.6,2.696
145,413.6,2.68
146,416.6,2.71
147,419.6,2.671
148,422.6,2.672
149,425.5,2.656
150,428.2,2.396
151,430.7,2.186
152,433.3,2.268
153,435.9,2.281
154,438.5,2.357
155,441.1,2.321
156,443.7,2.303
157,446.3,2.298
158,448.9,2.295
159,451.5,2.248
160,454.2,2.375
161,456.7,2.271
162,459.3,2.271
163,461.9,2.285
164,464.5,2.345
165,467.2,2.348
166,469.9,2.44
167,472.6,2.404
168,475.3,2.374
169,477.9,2.328
170,480.6,2.355
171,483.2,2.353
172,486.0,2.428
173,488.6,2.383
174,491.3,2.383
175,493.9,2.319
176,496.5,2.242
177,499.0,2.188
178,501.5,2.226
179,504.0,2.239
180,506.6,2.218
181,509.1,2.213
182,511.6,2.257
183,514.1,2.209
184,516.8,2.327
185,519.5,2.437
186,522.1,2.322
187,524.7,2.273
188,527.5,2.462
189,530.2,2.408
190,532.8,2.357
191,535.6,2.512
192,538.3,2.408
193,540.9,2.298
194,543.6,2.381
195,546.5,2.598
196,549.4,2.618
197,552.3,2.575
198,555.1,2.453
199,557.8,2.41
200,560.9,2.774
201,563.9,2.728
202,566.9,2.703
203,569.9,2.702
204,572.9,2.705
205,576.0,2.769
206,579.0,2.717
207,582.0,2.71
208,585.0,2.744
209,588.2,2.834
210,591.3,2.811
211,594.3,2.755
212,597.4,2.735
213,600.5,2.818
214,603.5,2.695
215,606.5,2.707
216,609.5,2.715
217,612.6,2.789
218,615.6,2.752
219,618.7,2.755
220,621.7,2.733
221,624.8,2.72
222,627.8,2.716
223,630.8,2.717
224,633.9,2.762
225,637.7,3.523
226,641.4,3.386
227,645.2,3.489
228,648.9,3.493
229,652.7,3.485
230,656.5,3.457
231,660.2,3.435
232,664.0,3.446
233,667.7,3.417
234,671.4,3.444
235,675.2,3.459
236,679.0,3.526
237,682.9,3.563
238,686.8,3.584
239,690.6,3.526
240,694.3,3.423
241,698.0,3.372
242,701.8,3.557
243,705.7,3.554
244,709.5,3.539
245,713.4,3.527
246,717.2,3.586
247,721.1,3.525
248,724.9,3.536
249,728.8,3.554
250,729.8,0.783
251,730.8,0.671
252,731.8,0.68
253,732.9,0.758
254,733.8,0.661
255,734.8,0.657
256,735.7,0.639
257,736.6,0.632
258,737.6,0.624
259,738.5,0.635
