round_num,elapsed_s,round_dur_s
0,3.3,
1,6.7,
2,10.0,
3,13.1,
4,16.3,
5,19.4,
6,22.6,
7,25.8,
8,28.9,
9,32.1,
10,35.5,
11,39.0,
12,42.5,
13,45.8,
14,49.3,
15,52.8,
16,56.3,
17,59.8,
18,63.3,
19,66.7,
20,70.1,
21,73.7,
22,77.2,
23,80.8,
24,84.3,
25,88.4,
26,92.4,
27,96.6,
28,100.6,
29,104.7,
30,108.8,
31,112.9,
32,117.0,
33,121.0,
34,125.1,
35,129.2,
36,133.3,
37,137.4,
38,141.4,
39,145.5,
40,149.7,
41,153.8,
42,157.9,
43,161.9,
44,166.0,
45,170.1,
46,174.2,
47,178.3,
48,182.4,
49,186.5,
50,190.0,
51,193.6,
52,197.1,
53,200.7,
54,204.2,
55,207.7,
56,211.3,
57,214.9,
58,218.4,
59,222.0,
60,225.5,
61,229.1,
62,232.7,
63,236.2,
64,240.0,
65,244.0,
66,248.0,
67,252.0,
68,255.9,
69,259.6,
70,263.2,
71,266.7,
72,270.3,
73,273.8,
74,277.4,
75,280.9,
76,284.5,
77,288.1,
78,292.2,
79,296.8,
80,300.5,
81,304.0,
82,307.6,
83,311.1,
84,315.1,
85,319.2,
86,323.3,
87,327.5,
88,331.6,
89,335.4,
90,339.0,
91,342.6,
92,346.4,
93,350.4,
94,354.5,
95,358.6,
96,362.6,
97,366.8,
98,370.4,
99,373.9,
100,377.4,
101,381.0,
102,384.5,
103,388.0,
104,391.6,
105,395.1,
106,398.6,
107,402.3,
108,405.8,
109,409.3,
110,412.9,
111,416.5,
112,420.0,
113,423.6,
114,427.1,
115,431.0,
116,435.0,
117,438.9,
118,442.9,
119,446.7,
120,450.7,
121,454.6,
122,458.6,
123,462.5,
124,466.5,
125,470.1,
126,473.6,
127,477.1,
128,480.6,
129,484.2,
130,487.8,
131,491.3,
132,494.9,
133,498.5,
134,502.0,
135,505.6,
136,509.1,
137,512.7,
138,516.3,
139,519.8,
140,523.3,
141,526.9,
142,530.4,
143,534.0,
144,537.5,
145,541.0,
146,544.3,
147,547.8,
148,551.3,
149,554.8,
150,558.4,
151,562.0,
152,565.5,
153,569.1,
154,572.7,
155,576.2,
156,579.8,
157,583.3,
158,586.9,
159,590.4,
160,594.0,
161,597.6,
162,601.1,
163,604.7,
164,608.3,
165,611.8,
166,615.4,
167,619.0,
168,622.5,
169,626.1,
170,629.6,
171,633.2,
172,636.7,
173,640.3,
174,643.8,
175,647.3,
176,650.8,
177,654.2,
178,657.7,
179,661.2,
180,664.7,
181,668.2,
182,671.7,
183,675.2,
184,678.7,
185,682.2,
186,685.7,
187,689.2,
188,692.6,
189,696.2,
190,699.6,
191,703.1,
192,706.7,
193,710.2,
194,713.8,
195,717.3,
196,720.9,
197,724.4,
198,728.0,
199,731.6,
200,735.1,
201,738.7,
202,742.2,
203,745.8,
204,749.4,
205,752.9,
206,756.5,
207,760.1,
208,763.6,
209,767.2,
210,770.7,
211,774.3,
212,777.9,
213,781.5,
214,785.1,
215,788.6,
216,792.2,
217,795.7,
218,799.3,
219,802.8,
220,806.4,
221,809.9,
222,813.5,
223,817.1,
224,820.7,
225,824.2,
226,827.6,
227,831.0,
228,834.5,
229,838.1,
230,841.6,
231,845.1,
232,848.6,
233,852.0,
234,855.6,
235,859.1,
236,862.7,
237,866.2,
238,869.7,
239,873.2,
240,876.7,
241,880.2,
242,883.7,
243,887.2,
244,890.7,
245,894.2,
246,897.7,
247,901.3,
248,904.8,
249,908.4,
250,912.2,
251,915.9,
252,919.7,
253,923.4,
254,927.2,
255,930.9,
256,934.6,
257,938.3,
258,941.9,
259,945.7,
