elapsed_s,channels_touched_so_far,server_mem_rss_mb,client_mem_rss_mb
0.0,0,1084.52,1.12
1.0,0,1133.83,39.06
2.0,0,1133.86,39.19
3.0,0,1133.87,39.33
4.0,20,1133.91,39.44
5.0,20,1133.92,39.58
6.0,20,1133.95,39.73
7.0,20,1133.96,39.84
8.0,40,1134.0,39.94
9.0,40,1134.0,40.08
10.0,40,1134.04,40.2
11.0,40,1134.06,40.35
12.0,60,1134.1,40.45
13.0,60,1134.1,40.6
14.0,60,1134.14,40.71
15.0,60,1134.15,40.86
16.0,80,1134.17,40.95
17.0,80,1134.2,41.08
18.0,80,1134.21,41.2
19.0,80,1134.25,41.34
20.0,100,1134.26,41.44
21.0,100,1134.3,41.56
22.0,100,1134.31,41.7
23.0,100,1134.35,41.82
24.0,120,1134.36,41.91
25.0,120,1134.39,42.04
26.0,120,1134.41,42.17
27.0,120,1134.42,42.29
28.0,140,1134.43,42.39
29.1,140,1134.46,42.5
30.1,140,1134.47,42.62
31.1,140,1134.48,42.77
32.1,160,1134.49,42.87
33.1,160,1134.53,42.98
34.1,160,1134.53,43.12
35.1,160,1134.54,43.25
36.1,180,1134.55,43.33
37.1,180,1134.58,43.47
38.1,180,1134.59,43.59
39.1,180,1134.6,43.7
40.1,200,1134.6,43.8
41.1,200,1134.62,43.95
42.1,200,1134.66,44.07
43.1,200,1134.66,44.18
44.1,220,1134.67,44.28
45.1,220,1134.68,44.39
46.1,220,1134.71,44.52
47.1,220,1134.73,44.66
48.1,240,1134.73,44.75
49.1,240,1134.73,44.87
50.1,240,1134.79,44.98
51.1,240,1134.81,45.11
52.1,260,1134.82,45.2
53.1,260,1134.83,45.32
54.1,260,1134.88,45.46
55.1,260,1134.9,45.58
56.1,280,1134.91,45.68
57.1,280,1134.92,45.79
58.1,280,1134.93,45.93
59.1,280,1134.99,46.05
60.1,300,1135.0,46.14
61.1,300,1135.01,46.27
62.1,300,1135.02,46.39
63.1,300,1135.09,46.5
64.1,320,1135.09,46.62
65.1,320,1135.11,46.72
66.1,320,1135.11,46.86
67.1,320,1135.18,46.98
68.1,340,1135.18,47.1
69.1,340,1135.2,47.22
70.1,340,1135.21,47.37
71.1,340,1135.27,47.48
72.1,360,1135.3,47.61
73.1,360,1135.31,47.7
74.1,360,1135.32,47.81
75.1,360,1135.38,47.96
76.1,380,1135.39,48.08
77.1,380,1135.4,48.17
78.1,380,1135.41,48.29
79.1,380,1135.47,48.41
80.1,400,1135.48,48.52
81.1,400,1135.5,48.62
82.1,400,1135.5,48.74
83.1,400,1135.53,48.89
84.1,420,1135.58,48.99
85.1,420,1135.59,49.09
86.1,420,1135.59,49.21
87.1,420,1135.59,49.33
88.1,440,1135.68,49.47
89.1,440,1135.68,49.54
90.1,440,1135.69,49.66
91.1,440,1135.69,49.79
92.1,440,1135.76,49.92
93.1,460,1135.77,50.02
94.1,460,1135.79,50.13
95.1,460,1135.79,50.25
96.1,460,1135.83,50.39
97.1,480,1135.86,50.46
98.1,480,1135.88,50.61
99.1,480,1135.89,50.72
100.1,480,1135.89,50.84
101.1,500,1135.96,51.01
102.1,500,1135.99,51.2
103.1,500,1135.99,51.41
104.1,520,1136.0,51.55
105.1,520,1136.07,51.74
106.1,540,1136.09,51.93
107.1,540,1136.09,52.11
108.1,540,1136.11,52.3
109.1,560,1136.17,52.45
110.1,560,1136.2,52.64
111.1,560,1136.2,52.84
112.1,580,1136.27,52.96
113.1,580,1136.27,53.13
114.1,580,1136.3,53.32
115.1,600,1136.3,53.44
116.1,600,1136.37,53.62
117.1,620,1136.4,53.82
118.1,620,1136.4,53.94
119.2,620,1136.41,54.12
120.2,640,1136.47,54.32
121.2,640,1136.48,54.46
122.2,640,1136.5,54.65
123.2,660,1136.51,54.79
124.2,660,1136.59,54.98
125.2,660,1136.6,55.16
126.2,680,1136.61,55.29
127.2,680,1136.62,55.52
128.2,680,1136.68,55.68
129.2,700,1136.69,55.82
130.2,700,1136.72,55.99
131.2,700,1136.73,56.16
132.2,720,1136.79,56.25
133.2,720,1136.81,56.41
134.2,720,1136.82,56.55
135.2,740,1136.82,56.72
136.2,740,1136.89,56.81
137.2,740,1136.89,56.98
138.2,740,1136.91,57.14
139.2,760,1136.92,57.23
140.2,760,1137.0,57.38
141.2,760,1137.01,57.55
142.2,780,1137.02,57.66
143.2,780,1137.03,57.8
144.2,780,1137.09,57.97
145.2,800,1137.11,58.14
146.2,800,1137.12,58.25
147.2,800,1137.14,58.39
148.2,800,1137.2,58.54
149.2,820,1137.22,58.69
150.2,820,1137.23,58.85
151.2,820,1137.24,59.04
152.2,840,1137.3,59.16
153.2,840,1137.32,59.32
154.2,840,1137.33,59.51
155.2,860,1137.34,59.62
156.2,860,1137.41,59.8
157.2,860,1137.43,59.96
158.2,880,1137.43,60.07
159.2,880,1137.5,60.27
160.2,880,1137.52,60.43
161.2,900,1137.53,60.55
162.2,900,1137.53,60.73
163.2,900,1137.61,60.91
164.2,920,1137.62,61.02
165.2,920,1137.63,61.21
166.2,920,1137.65,61.38
167.2,940,1137.71,61.5
168.2,940,1137.73,61.68
169.2,940,1137.73,61.84
170.2,960,1137.75,61.96
171.2,960,1137.81,62.16
172.2,960,1137.83,62.32
173.2,980,1137.85,62.44
174.2,980,1137.86,62.62
175.2,980,1137.92,62.79
176.2,1000,1137.93,63.0
177.2,1000,1137.95,63.18
178.2,1020,1138.02,63.4
179.2,1020,1138.03,63.73
180.2,1020,1138.05,63.96
181.2,1040,1138.06,64.12
182.2,1040,1138.12,64.32
183.3,1040,1138.14,64.5
184.3,1060,1138.15,64.66
185.3,1060,1138.17,64.86
186.3,1080,1138.23,65.05
187.3,1080,1138.24,65.18
188.3,1080,1138.26,65.38
189.3,1100,1138.27,65.54
190.3,1100,1138.34,65.72
191.3,1100,1138.35,65.91
192.3,1120,1138.37,66.04
193.3,1120,1138.38,66.2
194.3,1120,1138.44,66.41
195.3,1140,1138.46,66.55
196.3,1140,1138.47,66.73
197.3,1160,1138.52,66.92
198.3,1160,1138.55,67.07
199.3,1160,1138.57,67.25
200.3,1180,1138.58,67.42
201.3,1180,1138.6,67.56
202.3,1180,1138.65,67.77
203.3,1200,1138.67,67.89
204.3,1200,1138.69,68.07
205.3,1200,1138.7,68.26
206.3,1220,1138.76,68.41
207.3,1220,1138.77,68.6
208.3,1240,1138.79,68.78
209.3,1240,1138.8,68.92
210.3,1240,1138.86,69.11
211.3,1260,1138.89,69.3
212.3,1260,1138.9,69.44
213.3,1260,1138.91,69.61
214.3,1280,1138.97,69.77
215.3,1280,1138.99,69.91
216.3,1280,1139.0,70.1
217.3,1300,1139.02,70.25
218.3,1300,1139.07,70.38
219.3,1300,1139.1,70.57
220.3,1320,1139.11,70.71
221.3,1320,1139.11,70.86
222.3,1320,1139.18,71.05
223.3,1340,1139.2,71.19
224.3,1340,1139.21,71.33
225.3,1340,1139.24,71.5
226.3,1360,1139.29,71.66
227.3,1360,1139.3,71.91
228.3,1360,1139.32,72.06
229.3,1380,1139.34,72.24
230.3,1380,1139.39,72.38
231.3,1380,1139.42,72.54
232.3,1400,1139.42,72.71
233.3,1400,1139.48,72.84
234.3,1400,1139.5,73.0
235.3,1420,1139.51,73.17
236.3,1420,1139.52,73.34
237.3,1420,1139.54,73.5
238.3,1440,1139.6,73.64
239.3,1440,1139.62,73.82
240.3,1440,1139.62,73.99
241.3,1460,1139.64,74.14
242.3,1460,1139.7,74.3
243.3,1460,1139.72,74.48
244.3,1480,1139.73,74.61
245.3,1480,1139.76,74.77
246.3,1480,1139.8,74.96
247.3,1500,1139.83,75.15
248.3,1500,1139.84,75.37
249.3,1520,1139.91,75.58
250.3,1520,1139.92,75.72
251.3,1520,1139.93,75.91
252.3,1540,1139.96,76.08
253.3,1540,1140.0,76.27
254.3,1540,1140.02,76.48
255.3,1560,1140.02,76.62
256.3,1560,1140.06,76.82
257.3,1580,1140.07,77.02
258.4,1580,1140.08,77.18
259.4,1580,1140.11,77.37
260.4,1600,1140.11,77.53
261.4,1600,1140.12,77.73
262.4,1620,1140.13,77.93
263.4,1620,1140.15,78.07
264.4,1620,1140.16,78.27
265.4,1640,1140.17,78.43
266.4,1640,1140.17,78.62
267.4,1640,1140.18,78.81
268.4,1660,1140.2,78.95
269.4,1660,1140.21,79.15
270.4,1680,1140.23,79.36
271.4,1680,1140.24,79.51
272.4,1680,1140.25,79.7
273.4,1700,1140.25,79.83
274.4,1700,1140.28,80.05
275.4,1720,1140.28,80.26
276.4,1720,1140.29,80.37
277.4,1720,1140.3,80.59
278.4,1740,1140.32,80.78
279.4,1740,1140.32,80.92
280.4,1740,1140.33,81.12
281.4,1760,1140.34,81.27
282.4,1760,1140.36,81.44
283.4,1760,1140.36,81.62
284.4,1780,1140.37,81.76
285.4,1780,1140.38,81.95
286.4,1800,1140.39,82.16
287.4,1800,1140.4,82.28
288.4,1800,1140.41,82.47
289.4,1820,1140.42,82.66
290.4,1820,1140.44,82.82
291.4,1820,1140.45,83.01
292.4,1840,1140.45,83.16
293.4,1840,1140.46,83.34
294.4,1840,1140.48,83.53
295.4,1860,1140.48,83.68
296.4,1860,1140.5,83.9
297.4,1880,1140.51,84.06
298.4,1880,1140.52,84.21
299.4,1880,1140.54,84.39
300.4,1900,1140.54,84.56
301.4,1900,1140.54,84.72
302.4,1900,1140.57,84.91
303.4,1920,1140.57,85.05
304.4,1920,1140.57,85.24
305.4,1920,1140.59,85.43
306.4,1940,1140.6,85.57
307.4,1940,1140.61,85.75
308.4,1960,1140.61,85.92
309.4,1960,1140.62,86.06
310.4,1960,1140.63,86.25
311.4,1980,1140.64,86.44
312.4,1980,1140.65,86.57
313.4,1980,1140.66,86.74
314.4,2000,1140.67,86.91
315.4,2000,1140.68,87.14
316.4,2000,1140.68,87.3
317.4,2020,1140.69,87.46
318.4,2020,1140.7,87.6
319.4,2020,1140.71,87.79
