elapsed_s,channels_touched_so_far,server_mem_rss_mb,client_mem_rss_mb
0.0,0,1095.52,0.0
1.0,0,1134.59,39.49
2.0,0,1136.79,39.78
3.0,0,1139.83,40.05
4.0,20,1142.5,39.92
5.0,20,1142.5,39.93
6.0,20,1142.54,39.94
7.0,20,1142.55,40.2
8.0,40,1142.97,39.74
9.0,40,1142.97,39.77
10.0,40,1143.02,40.03
11.0,40,1143.04,40.31
12.0,60,1143.06,40.36
13.0,60,1143.09,40.37
14.0,60,1143.1,40.38
15.0,80,1143.17,40.38
16.0,80,1143.17,40.39
17.0,80,1143.2,40.4
18.0,80,1143.22,40.41
19.0,100,1143.31,39.76
20.0,100,1143.34,39.8
21.0,100,1143.34,40.04
22.0,100,1143.39,40.31
23.0,120,1143.41,39.78
24.0,120,1143.45,39.89
25.0,120,1143.45,40.17
26.0,140,1143.49,40.41
27.0,140,1143.49,39.85
28.0,140,1143.49,40.0
29.0,140,1143.49,40.27
30.0,160,1143.52,39.84
31.1,160,1143.55,39.85
32.1,160,1143.55,40.07
33.1,160,1143.55,40.33
34.1,180,1143.56,39.79
35.1,180,1143.6,39.9
36.1,180,1143.6,40.16
37.1,200,1143.62,40.38
38.1,200,1143.66,39.82
39.1,200,1143.69,40.0
40.1,200,1143.69,40.25
41.1,220,1143.7,40.01
42.1,220,1143.7,40.02
43.1,220,1143.7,40.09
44.1,220,1143.74,40.34
45.1,240,1143.78,39.8
46.1,240,1143.78,39.9
47.1,240,1143.78,40.16
48.1,240,1143.82,40.37
49.1,260,1143.84,40.48
50.1,260,1143.84,40.48
51.1,260,1143.84,40.48
52.1,260,1143.85,40.48
53.1,280,1144.08,40.12
54.1,280,1144.08,40.12
55.1,280,1144.09,40.23
56.1,300,1144.09,40.45
57.1,300,1144.17,39.79
58.1,300,1144.17,40.04
59.1,300,1144.18,40.3
60.1,320,1144.2,39.82
61.1,320,1144.2,39.87
62.1,320,1144.27,40.11
63.1,320,1144.27,40.32
64.1,340,1144.34,39.9
65.1,340,1144.34,39.91
66.1,340,1144.42,40.11
67.1,340,1144.42,40.37
68.1,360,1144.43,39.91
69.1,360,1144.43,39.92
70.1,360,1144.49,40.2
71.1,360,1144.51,40.44
72.1,380,1144.52,40.13
73.1,380,1144.52,40.13
74.1,380,1144.53,40.27
75.1,400,1144.61,40.51
76.1,400,1144.61,39.84
77.1,400,1144.61,40.06
78.1,400,1144.62,40.27
79.1,420,1144.71,39.92
80.1,420,1144.71,39.93
81.1,420,1144.71,40.09
82.1,420,1144.72,40.32
83.1,440,1144.75,40.13
84.1,440,1144.82,40.14
85.1,440,1144.82,40.14
86.1,440,1144.82,40.32
87.1,460,1144.98,39.84
88.1,460,1145.04,39.88
89.1,460,1145.05,40.11
90.1,460,1145.06,40.37
91.1,480,1145.07,39.93
92.1,480,1145.07,39.94
93.1,480,1145.14,40.18
94.1,480,1145.15,40.42
95.1,500,1145.16,39.95
96.1,500,1146.37,39.99
97.1,500,1149.02,40.27
98.1,520,1152.66,39.95
99.1,520,1152.66,39.95
100.1,520,1152.66,40.14
101.1,520,1152.74,40.4
102.1,540,1153.82,39.85
103.2,540,1153.82,39.95
104.2,540,1153.84,40.21
105.2,560,1153.87,40.47
106.2,560,1153.94,39.91
107.2,560,1153.95,40.04
108.2,560,1153.95,40.32
109.2,580,1153.97,39.86
110.2,580,1154.02,39.91
111.2,580,1154.04,40.2
112.2,580,1154.05,40.43
113.2,600,1154.08,39.88
114.2,600,1154.08,40.05
115.2,600,1154.14,40.3
116.2,620,1154.17,40.54
117.2,620,1154.18,39.88
118.2,620,1154.18,40.14
119.2,620,1154.18,40.39
120.2,640,1154.27,40.53
121.2,640,1154.27,40.54
122.2,640,1154.28,40.54
123.2,640,1154.29,40.54
124.2,660,1154.3,39.88
125.2,660,1154.36,40.05
126.2,660,1154.36,40.31
127.2,680,1154.38,40.55
128.2,680,1154.38,39.89
129.2,680,1154.38,40.12
130.2,680,1154.45,40.38
131.2,700,1154.49,39.88
132.2,700,1154.49,40.0
133.2,700,1154.49,40.26
134.2,720,1154.56,40.49
135.2,720,1154.57,39.85
136.2,720,1154.57,40.11
137.2,720,1154.57,40.36
138.2,740,1154.6,39.88
139.2,740,1154.66,39.93
140.2,740,1154.66,40.19
141.2,740,1154.67,40.41
142.2,760,1155.12,39.88
143.2,760,1155.16,39.96
144.2,760,1155.18,40.24
145.2,780,1155.19,40.5
146.2,780,1155.2,39.89
147.2,780,1155.26,40.07
148.2,780,1155.26,40.32
149.2,800,1155.29,40.56
150.2,800,1155.29,39.89
151.2,800,1155.29,40.15
152.2,800,1155.36,40.37
153.2,820,1155.37,39.89
154.2,820,1155.37,39.94
155.2,820,1155.37,40.18
156.2,820,1155.38,40.46
157.2,840,1155.43,39.98
158.2,840,1155.46,39.99
159.2,840,1155.47,40.25
160.2,840,1155.47,40.51
161.2,860,1155.49,39.99
162.2,860,1155.55,40.06
163.2,860,1155.55,40.34
164.2,880,1155.57,39.98
165.2,880,1155.57,40.0
166.2,880,1155.62,40.17
167.2,880,1155.64,40.43
168.2,900,1155.65,40.2
169.2,900,1155.65,40.21
170.2,900,1155.65,40.28
171.2,900,1155.72,40.54
172.2,920,1155.74,39.92
173.2,920,1155.74,40.07
174.2,920,1155.74,40.32
175.2,940,1155.82,40.58
176.2,940,1155.84,40.58
177.2,940,1155.84,40.58
178.2,940,1155.84,40.58
179.2,960,1155.89,40.57
180.2,960,1155.92,40.59
181.2,960,1155.92,40.59
182.2,960,1155.93,40.59
183.2,980,1155.95,40.6
184.2,980,1156.01,40.61
185.2,980,1156.02,40.61
186.2,980,1156.03,40.61
187.2,1000,1156.15,40.0
188.2,1000,1156.64,40.01
189.2,1000,1158.66,40.21
190.2,1000,1161.59,40.42
191.2,1020,1164.52,40.25
192.2,1020,1164.52,40.27
193.2,1020,1164.52,40.27
194.2,1020,1164.58,40.46
195.2,1040,1164.61,39.98
196.2,1040,1164.61,40.01
197.2,1040,1164.62,40.29
198.2,1040,1164.7,40.53
199.2,1060,1164.77,39.99
200.2,1060,1164.77,40.05
201.2,1060,1164.77,40.31
202.2,1060,1164.79,40.53
203.2,1080,1164.86,40.01
204.2,1080,1164.86,40.1
205.2,1080,1164.87,40.36
206.2,1100,1164.89,40.57
207.2,1100,1164.9,39.99
208.3,1100,1164.96,40.12
209.3,1100,1164.96,40.36
210.3,1120,1164.98,40.01
211.3,1120,1164.99,40.01
212.3,1120,1165.05,40.18
213.3,1120,1165.05,40.4
214.3,1140,1165.13,39.96
215.3,1140,1165.13,39.97
216.3,1140,1165.18,40.18
217.3,1140,1165.2,40.4
218.3,1160,1165.48,39.93
219.3,1160,1165.48,39.93
220.3,1160,1165.49,40.14
221.3,1160,1165.54,40.36
222.3,1180,1165.56,40.57
223.3,1180,1165.57,39.97
224.3,1180,1165.57,40.1
225.3,1180,1165.58,40.36
226.3,1200,1165.64,40.57
227.3,1200,1165.65,39.93
228.3,1200,1165.65,40.12
229.3,1200,1165.65,40.36
230.3,1220,1165.7,39.91
231.3,1220,1165.73,39.93
232.3,1220,1165.73,40.16
233.3,1220,1165.73,40.4
234.3,1240,1165.82,40.19
235.3,1240,1165.88,40.2
236.3,1240,1165.88,40.2
237.3,1240,1165.88,40.36
238.3,1260,1165.97,40.57
239.3,1260,1166.51,39.93
240.3,1260,1166.51,40.12
241.3,1260,1166.51,40.36
242.3,1280,1166.52,40.57
243.3,1280,1166.53,39.93
244.3,1280,1166.58,40.08
245.3,1280,1166.59,40.36
246.3,1300,1166.6,40.57
247.3,1300,1166.6,39.97
248.3,1300,1166.66,40.08
249.3,1300,1166.66,40.36
250.3,1320,1166.66,40.55
251.3,1320,1166.68,40.22
252.3,1320,1166.74,40.22
253.3,1320,1166.74,40.31
254.3,1320,1166.75,40.5
255.3,1340,1166.77,39.88
256.3,1340,1166.83,40.04
257.3,1340,1166.83,40.25
258.3,1340,1166.84,40.46
259.3,1360,1166.86,40.0
260.3,1360,1166.91,40.01
261.3,1360,1166.91,40.23
262.3,1360,1166.92,40.48
263.3,1380,1166.93,40.17
264.3,1380,1166.93,40.18
265.3,1380,1166.99,40.21
266.3,1380,1166.99,40.44
267.3,1400,1167.19,39.91
268.3,1400,1167.19,39.93
269.3,1400,1167.19,40.16
270.3,1400,1167.25,40.38
271.3,1420,1167.25,40.59
272.3,1420,1167.25,40.59
273.3,1420,1167.25,40.59
274.3,1420,1167.31,40.59
275.3,1440,1167.32,40.59
276.3,1440,1167.33,40.27
277.3,1440,1167.33,40.27
278.3,1440,1167.38,40.33
279.3,1460,1167.38,40.59
280.3,1460,1167.38,40.01
281.3,1460,1167.39,40.18
282.3,1460,1167.4,40.42
283.3,1480,1167.43,39.91
284.3,1480,1167.46,39.93
285.3,1480,1167.46,40.19
286.3,1480,1167.47,40.42
287.3,1500,1167.48,39.91
288.3,1500,1168.25,40.04
289.3,1500,1170.93,40.36
290.3,1520,1174.57,39.97
291.3,1520,1174.57,39.97
292.3,1520,1174.57,40.21
293.3,1520,1174.59,40.49
294.3,1540,1175.32,40.59
295.3,1540,1175.32,40.59
296.3,1540,1175.33,40.59
297.3,1560,1175.36,40.61
298.3,1560,1175.36,40.61
299.3,1560,1175.37,40.61
300.3,1560,1175.38,40.62
301.3,1580,1175.46,39.93
302.3,1580,1175.46,40.04
303.3,1580,1175.46,40.31
304.3,1600,1175.48,40.55
305.3,1600,1175.63,39.97
306.3,1600,1175.63,40.14
307.3,1600,1175.64,40.38
308.3,1620,1175.74,40.17
