elapsed_s,channels_touched_so_far,server_mem_rss_mb,client_mem_rss_mb
0.0,0,1094.68,1.93
1.0,0,1133.83,39.05
2.0,0,1133.86,39.06
3.0,20,1133.89,39.08
4.0,20,1133.92,39.09
5.0,40,1133.95,39.11
6.0,40,1133.96,39.12
7.0,40,1134.01,39.12
8.0,60,1134.03,39.13
9.0,60,1134.07,39.14
10.0,80,1134.1,39.15
11.0,80,1134.11,39.17
12.0,80,1134.16,39.18
13.0,100,1134.17,39.19
14.0,100,1134.21,39.2
15.0,120,1134.23,39.21
16.0,120,1134.27,39.22
17.0,120,1134.31,39.23
18.0,140,1134.33,39.23
19.0,140,1134.36,39.24
20.0,160,1134.39,39.25
21.0,160,1134.43,39.26
22.0,160,1134.46,39.28
23.0,180,1134.48,39.29
24.0,180,1134.48,39.3
25.0,180,1134.52,39.3
26.0,200,1134.53,39.3
27.0,200,1134.55,39.32
28.0,200,1134.56,39.33
29.0,220,1134.59,39.33
30.0,220,1134.6,39.34
31.0,220,1134.62,39.34
32.0,240,1134.62,39.35
33.0,240,1134.66,39.36
34.0,260,1134.68,39.37
35.0,260,1134.68,39.38
36.0,260,1134.7,39.38
37.0,280,1134.73,39.39
38.1,280,1134.74,39.39
39.1,280,1134.75,39.41
40.1,300,1134.78,39.41
41.1,300,1134.79,39.41
42.1,300,1134.82,39.43
43.1,320,1134.82,39.43
44.1,320,1134.84,39.44
45.1,320,1134.89,39.44
46.1,340,1134.91,39.45
47.1,340,1134.92,39.49
48.1,340,1134.97,39.5
49.1,360,1134.99,39.5
50.1,360,1135.02,39.51
51.1,360,1135.03,39.52
52.1,380,1135.04,39.53
53.1,380,1135.1,39.53
54.1,380,1135.12,39.54
55.1,400,1135.12,39.54
56.1,400,1135.13,39.55
57.1,400,1135.21,39.56
58.1,420,1135.22,39.57
59.1,420,1135.23,39.57
60.1,420,1135.27,39.58
61.1,440,1135.31,39.59
62.1,440,1135.32,39.59
63.1,440,1135.32,39.6
64.1,460,1135.34,39.6
65.1,460,1135.41,39.62
66.1,460,1135.42,39.62
67.1,480,1135.43,39.63
68.1,480,1135.45,39.63
69.1,480,1135.51,39.64
70.1,500,1135.52,39.66
71.1,500,1135.54,39.76
72.1,520,1135.6,39.77
73.1,520,1135.61,39.77
74.1,520,1135.62,39.79
75.1,540,1135.62,39.79
76.1,540,1135.7,39.8
77.1,560,1135.72,39.81
78.1,560,1135.73,39.82
79.1,560,1135.75,39.82
80.1,580,1135.8,39.83
81.1,580,1135.82,39.84
82.1,580,1135.84,39.86
83.1,600,1135.86,39.86
84.1,600,1135.93,39.86
85.1,620,1135.94,39.88
86.1,620,1135.95,39.88
87.1,620,1136.02,39.89
88.1,640,1136.04,39.9
89.1,640,1136.04,39.91
90.1,660,1136.08,39.92
91.1,660,1136.14,39.92
92.1,660,1136.14,39.93
93.1,680,1136.16,39.98
94.1,680,1136.22,39.99
95.1,700,1136.24,40.0
96.1,700,1136.26,40.0
97.1,700,1136.32,40.0
98.1,720,1136.35,40.02
99.1,720,1136.36,40.03
100.1,740,1136.37,40.03
101.1,740,1136.43,40.04
102.1,740,1136.45,40.05
103.1,760,1136.46,40.05
104.2,760,1136.49,40.06
105.2,780,1136.56,40.07
106.2,780,1136.57,40.08
107.2,780,1136.58,40.09
108.2,800,1136.62,40.11
109.2,800,1136.66,40.12
110.2,800,1136.68,40.13
111.2,820,1136.68,40.14
112.2,820,1136.75,40.14
113.2,840,1136.77,40.15
114.2,840,1136.8,40.16
115.2,840,1136.85,40.17
116.2,860,1136.89,40.17
117.2,860,1136.9,40.18
118.2,880,1136.91,40.19
119.2,880,1136.98,40.2
120.2,880,1137.01,40.21
121.2,900,1137.01,40.21
122.2,900,1137.01,40.21
123.2,900,1137.09,40.23
124.2,920,1137.11,40.23
125.2,920,1137.11,40.24
126.2,920,1137.12,40.25
127.2,940,1137.18,40.25
128.2,940,1137.2,40.27
129.2,960,1137.21,40.27
130.2,960,1137.23,40.27
131.2,960,1137.29,40.29
132.2,980,1137.31,40.29
133.2,980,1137.32,40.3
134.2,980,1137.33,40.3
135.2,1000,1137.39,40.3
136.2,1000,1137.41,40.42
137.2,1000,1137.42,40.43
138.2,1020,1137.43,40.44
139.2,1020,1137.49,40.66
140.2,1040,1137.51,40.66
141.2,1040,1137.52,40.67
142.2,1040,1137.59,40.68
143.2,1060,1137.61,40.68
144.2,1060,1137.62,40.69
145.2,1080,1137.64,40.7
146.2,1080,1137.7,40.7
147.2,1080,1137.73,40.71
148.2,1100,1137.73,40.71
149.2,1100,1137.8,40.72
150.2,1120,1137.82,40.73
151.2,1120,1137.83,40.73
152.2,1120,1137.85,40.75
153.2,1140,1137.91,40.75
154.2,1140,1137.93,40.76
155.2,1160,1137.95,40.76
156.2,1160,1138.01,40.76
157.2,1160,1138.03,40.77
158.2,1180,1138.04,40.78
159.2,1180,1138.09,40.79
160.2,1200,1138.12,40.79
161.2,1200,1138.13,40.8
162.2,1200,1138.15,40.8
163.2,1220,1138.21,40.82
164.2,1220,1138.24,40.82
165.2,1220,1138.25,40.84
166.2,1240,1138.31,40.84
167.2,1240,1138.34,40.84
168.2,1240,1138.34,40.85
169.2,1260,1138.37,40.86
170.2,1260,1138.43,40.87
171.3,1280,1138.45,40.88
172.3,1280,1138.46,40.88
173.3,1280,1138.5,40.89
174.3,1300,1138.54,40.89
175.3,1300,1138.56,40.9
176.3,1320,1138.59,40.9
177.3,1320,1138.64,40.91
178.3,1320,1138.66,40.93
179.3,1340,1138.66,40.93
180.3,1340,1138.68,40.93
181.3,1340,1138.75,40.93
182.3,1360,1138.76,40.95
183.3,1360,1138.77,41.05
184.3,1360,1138.83,41.06
185.3,1380,1138.84,41.06
186.3,1380,1138.87,41.07
187.3,1400,1138.88,41.08
188.3,1400,1138.95,41.09
189.3,1400,1138.97,41.09
190.3,1420,1138.98,41.09
191.3,1420,1139.02,41.1
192.3,1420,1139.06,41.11
193.3,1440,1139.08,41.12
194.3,1440,1139.09,41.12
195.3,1440,1139.14,41.13
196.3,1460,1139.16,41.13
197.3,1460,1139.18,41.14
198.3,1460,1139.18,41.14
199.3,1480,1139.23,41.15
200.3,1480,1139.28,41.16
201.3,1480,1139.28,41.16
202.3,1500,1139.29,41.27
203.3,1500,1139.36,41.28
204.3,1520,1139.39,41.29
205.3,1520,1139.39,41.29
206.3,1520,1139.47,41.3
207.3,1540,1139.49,41.3
208.3,1540,1139.5,41.32
209.3,1560,1139.51,41.32
210.3,1560,1139.57,41.33
211.3,1560,1139.6,41.33
212.3,1580,1139.61,41.34
213.3,1580,1139.64,41.35
214.3,1600,1139.69,41.35
215.3,1600,1139.7,41.36
216.3,1600,1139.73,41.37
217.3,1620,1139.77,41.37
218.3,1620,1139.8,41.38
219.3,1640,1139.82,41.39
220.3,1640,1139.84,41.39
221.3,1640,1139.88,41.4
222.3,1660,1139.91,41.41
223.3,1660,1139.91,41.41
224.3,1680,1139.98,41.42
225.3,1680,1140.0,41.43
226.3,1680,1140.01,41.44
227.3,1700,1140.04,41.44
228.3,1700,1140.1,41.45
229.3,1720,1140.11,41.45
230.3,1720,1140.12,41.46
231.3,1720,1140.18,41.46
232.4,1740,1140.2,41.48
233.4,1740,1140.21,41.48
234.4,1760,1140.23,41.49
235.4,1760,1140.25,41.49
236.4,1760,1140.27,41.5
237.4,1780,1140.27,41.51
238.4,1780,1140.3,41.52
239.4,1800,1140.3,41.52
240.4,1800,1140.31,41.53
241.4,1800,1140.33,41.53
242.4,1820,1140.35,41.54
243.4,1820,1140.36,41.54
244.4,1840,1140.36,41.56
245.4,1840,1140.38,41.56
246.4,1840,1140.4,41.57
247.4,1860,1140.4,41.57
248.4,1860,1140.41,41.59
249.4,1880,1140.43,41.61
250.4,1880,1140.44,41.61
251.4,1880,1140.46,41.62
252.4,1900,1140.48,41.63
253.4,1900,1140.48,41.64
254.4,1920,1140.49,41.64
255.4,1920,1140.51,41.64
256.4,1920,1140.51,41.66
257.4,1940,1140.53,41.66
258.4,1940,1140.54,41.67
259.4,1940,1140.55,41.67
260.4,1960,1140.56,41.68
261.4,1960,1140.56,41.69
262.4,1980,1140.59,41.69
263.4,1980,1140.6,41.7
264.4,1980,1140.6,41.71
265.4,2000,1140.62,41.82
266.4,2000,1140.63,41.83
267.4,2000,1140.64,41.83
268.4,2020,1140.64,41.83
269.4,2020,1140.64,41.84
270.4,2020,1140.67,41.85
271.4,2040,1140.67,41.86
272.4,2040,1140.68,42.07
273.4,2040,1140.69,42.09
274.4,2060,1140.7,42.1
275.4,2060,1140.71,42.1
276.4,2060,1140.72,42.11
277.4,2080,1140.72,42.11
278.4,2080,1140.73,42.12
279.4,2080,1140.74,42.12
280.4,2100,1140.75,42.13
281.4,2100,1140.75,42.14
282.4,2100,1140.77,42.14
283.4,2120,1140.78,42.15
284.4,2120,1140.79,42.16
285.4,2120,1140.79,42.16
286.4,2140,1140.81,42.16
287.4,2140,1140.82,42.16
288.4,2140,1140.82,42.18
289.4,2160,1140.84,42.18
290.4,2160,1140.85,42.19
291.4,2160,1140.85,42.19
292.4,2160,1140.85,42.2
293.4,2180,1140.87,42.2
294.5,2180,1140.88,42.21
295.5,2180,1140.88,42.21
296.5,2200,1140.89,42.22
297.5,2200,1140.9,42.22
298.5,2200,1140.91,42.23
299.5,2220,1140.92,42.23
300.5,2220,1140.93,42.23
301.5,2220,1140.93,42.24
302.5,2240,1140.94,42.24
303.5,2240,1140.95,42.25
304.5,2240,1140.95,42.26
305.5,2240,1140.96,42.27
306.5,2260,1140.97,42.27
307.5,2260,1140.98,42.27
308.5,2280,1141.0,42.28
309.5,2280,1141.0,42.29
310.5,2280,1141.01,42.29
311.5,2300,1141.01,42.3
312.5,2300,1141.02,42.3
313.5,2300,1141.04,42.31
314.5,2320,1141.05,42.32
315.5,2320,1141.05,42.32
316.5,2320,1141.06,42.33
317.5,2340,1141.07,42.33
318.5,2340,1141.07,42.34
319.5,2340,1141.09,42.34
320.5,2360,1141.09,42.35
321.5,2360,1141.11,42.35
322.5,2360,1141.12,42.36
323.5,2380,1141.12,42.38
324.5,2380,1141.12,42.38
325.5,2380,1141.15,42.38
326.5,2400,1141.15,42.38
327.5,2400,1141.15,42.4
328.5,2400,1141.17,42.4
329.5,2420,1141.18,42.41
330.5,2420,1141.18,42.41
331.5,2420,1141.19,42.42
332.5,2440,1141.2,42.43
333.5,2440,1141.21,42.43
334.5,2440,1141.21,42.44
335.5,2460,1141.22,42.45
336.5,2460,1141.23,42.45
337.5,2460,1141.25,42.46
338.5,2480,1141.25,42.46
339.5,2480,1141.27,42.47
340.5,2480,1141.27,42.47
341.5,2500,1141.29,42.59
342.5,2500,1141.29,42.6
343.5,2500,1141.3,42.6
344.5,2520,1141.3,42.61
345.5,2520,1141.31,42.61
346.5,2540,1141.32,42.62
347.5,2540,1141.32,42.63
348.5,2540,1141.33,42.63
349.5,2560,1141.34,42.64
350.5,2560,1141.35,42.65
351.5,2560,1141.36,42.65
352.5,2580,1141.36,42.65
353.5,2580,1141.37,42.67
354.5,2580,1141.39,42.67
355.6,2600,1141.39,42.68
356.6,2600,1141.39,42.69
357.6,2600,1141.41,42.69
358.6,2620,1141.42,42.7
359.6,2620,1141.43,42.7
360.6,2620,1141.43,42.71
361.6,2640,1141.45,42.71
362.6,2640,1141.45,42.72
363.6,2660,1141.46,42.73
364.6,2660,1141.46,42.74
365.6,2660,1141.48,42.74
366.6,2680,1141.48,42.75
367.6,2680,1141.49,42.75
368.6,2680,1141.5,42.77
369.6,2700,1141.51,42.77
370.6,2700,1141.52,42.77
371.6,2700,1141.53,42.78
