round_num,elapsed_s,round_dur_s,total_buffers
0,3.6,3.61,250
1,7.5,3.551,250
2,11.3,3.505,250
3,15.2,3.589,250
4,19.2,3.705,250
5,23.1,3.678,250
6,27.2,3.717,250
7,31.2,3.75,250
8,35.3,3.765,250
9,39.3,3.745,250
10,43.4,3.739,250
11,47.4,3.761,250
12,51.5,3.775,250
13,55.5,3.698,250
14,59.6,3.792,250
15,63.7,3.803,250
16,67.7,3.757,250
17,71.8,3.767,250
18,75.9,3.758,250
19,79.9,3.776,250
20,84.0,3.781,250
21,88.1,3.803,250
22,92.2,3.798,250
23,96.3,3.789,250
24,100.4,3.79,250
25,103.2,2.445,250
26,105.8,2.343,250
27,108.5,2.402,250
28,111.2,2.418,250
29,114.2,2.67,250
30,117.1,2.613,250
31,119.8,2.416,250
32,122.6,2.522,250
33,125.5,2.552,250
34,128.4,2.615,250
35,131.5,2.846,250
36,135.0,3.145,250
37,138.3,2.994,250
38,141.7,3.09,250
39,145.0,3.046,250
40,148.4,3.107,250
41,151.4,2.699,250
42,154.5,2.72,250
43,157.5,2.714,250
44,160.5,2.718,250
45,163.5,2.718,250
46,166.5,2.714,250
47,169.5,2.691,250
48,172.5,2.713,250
49,175.5,2.717,250
50,178.2,2.383,250
51,180.9,2.334,250
52,183.4,2.255,250
53,186.1,2.396,250
54,188.8,2.415,250
55,191.5,2.417,250
56,194.4,2.571,250
57,197.2,2.455,250
58,200.0,2.484,250
59,202.7,2.468,250
60,205.5,2.475,250
61,208.3,2.493,250
62,211.0,2.452,250
63,214.0,2.691,250
64,216.9,2.615,250
65,219.9,2.689,250
66,223.0,2.718,250
67,226.0,2.727,250
68,229.0,2.717,250
69,232.0,2.712,250
70,234.9,2.615,250
71,237.8,2.597,250
72,240.7,2.575,250
73,243.7,2.653,250
74,246.7,2.706,250
75,249.3,2.309,250
76,251.9,2.297,250
77,254.4,2.281,250
78,257.1,2.32,250
79,259.7,2.302,250
80,262.3,2.321,250
81,264.9,2.332,250
82,267.6,2.347,250
83,270.1,2.254,250
84,272.8,2.36,250
85,275.4,2.359,250
86,278.1,2.358,250
87,280.8,2.363,250
88,283.6,2.528,250
89,286.3,2.416,250
90,289.1,2.446,250
91,291.8,2.452,250
92,294.5,2.382,250
93,297.3,2.468,250
94,300.0,2.421,250
95,302.7,2.47,250
96,305.5,2.478,250
97,308.4,2.578,250
98,311.2,2.522,250
99,314.1,2.582,250
100,317.1,2.699,250
101,320.1,2.66,250
102,323.1,2.682,250
103,326.0,2.606,250
104,329.0,2.72,250
105,331.9,2.67,250
106,334.9,2.602,250
107,337.8,2.618,250
108,340.8,2.716,250
109,343.8,2.716,250
110,346.8,2.708,250
111,349.8,2.66,250
112,352.8,2.704,250
113,355.8,2.761,250
114,358.8,2.7,250
115,361.8,2.708,250
116,364.8,2.702,250
117,367.9,2.715,250
118,370.9,2.694,250
119,373.9,2.711,250
120,376.9,2.707,250
121,379.9,2.696,250
122,382.9,2.678,250
123,385.9,2.708,250
124,388.9,2.704,250
125,391.7,2.533,250
126,394.4,2.381,250
127,397.2,2.509,250
128,399.9,2.415,250
129,402.7,2.543,250
130,405.5,2.49,250
131,408.4,2.564,250
132,411.3,2.576,250
133,414.2,2.597,250
134,417.0,2.538,250
135,419.9,2.626,250
136,422.9,2.621,250
137,425.7,2.573,250
138,428.7,2.678,250
139,431.6,2.594,250
140,434.5,2.571,250
141,437.4,2.628,250
142,440.4,2.705,250
143,443.4,2.709,250
144,446.4,2.702,250
145,449.4,2.71,250
146,452.4,2.706,250
147,455.4,2.698,250
148,458.4,2.642,250
149,461.4,2.707,250
150,463.9,2.208,250
151,466.4,2.16,250
152,468.8,2.166,250
153,471.3,2.164,250
154,473.8,2.164,250
155,476.2,2.187,250
156,478.7,2.164,250
157,481.2,2.188,250
158,483.7,2.165,250
159,486.1,2.162,250
160,488.6,2.165,250
161,491.0,2.164,250
162,493.5,2.163,250
163,496.1,2.243,250
164,498.5,2.165,250
165,501.0,2.22,250
166,503.5,2.162,250
167,506.0,2.191,250
168,508.5,2.159,250
169,510.9,2.169,250
170,513.4,2.159,250
171,515.8,2.167,250
172,518.4,2.216,250
173,520.8,2.165,250
174,523.3,2.184,250
175,526.4,2.748,250
176,529.3,2.671,250
177,532.2,2.607,250
178,535.2,2.705,250
179,538.2,2.649,250
180,541.1,2.591,250
181,543.8,2.431,250
182,546.7,2.549,250
183,549.7,2.705,250
184,552.7,2.704,250
185,555.6,2.618,250
186,558.6,2.655,250
187,561.5,2.644,250
188,564.4,2.615,250
189,567.1,2.421,250
190,569.8,2.348,250
191,572.6,2.567,250
192,575.5,2.599,250
193,578.4,2.514,250
194,581.2,2.564,250
195,584.2,2.63,250
196,587.0,2.547,250
197,589.9,2.594,250
198,592.9,2.667,250
199,595.8,2.674,250
200,598.9,2.746,250
201,601.9,2.718,250
202,604.9,2.723,250
203,607.9,2.716,250
204,611.0,2.723,250
205,614.0,2.725,250
206,617.0,2.72,250
207,620.0,2.719,250
208,623.1,2.722,250
209,626.1,2.719,250
210,629.1,2.722,250
211,632.1,2.71,250
212,635.1,2.728,250
213,637.9,2.478,250
214,640.7,2.455,250
215,643.3,2.362,250
216,646.0,2.343,250
217,648.5,2.247,250
218,651.1,2.285,250
219,653.7,2.284,250
220,656.3,2.281,250
221,658.9,2.345,250
222,661.4,2.17,250
223,663.9,2.255,250
224,666.4,2.175,250
225,669.0,2.284,250
226,671.5,2.23,250
227,674.0,2.176,250
228,676.5,2.17,250
229,679.0,2.207,250
230,681.5,2.197,250
231,684.0,2.174,250
232,686.5,2.209,250
233,689.0,2.267,250
234,691.7,2.326,250
235,694.4,2.404,250
236,697.2,2.493,250
237,699.8,2.32,250
238,702.5,2.462,250
239,705.2,2.325,250
240,707.7,2.19,250
241,710.2,2.248,250
242,712.8,2.262,250
243,715.3,2.225,250
244,717.9,2.319,250
245,720.5,2.244,250
246,723.1,2.296,250
247,725.7,2.303,250
248,728.2,2.246,250
249,730.8,2.271,250
250,732.1,1.051,250
251,733.5,1.052,250
252,734.8,0.978,250
253,736.0,0.968,250
254,737.3,0.976,250
255,738.6,1.038,250
256,739.9,0.952,250
257,741.2,0.979,250
258,742.5,1.024,250
259,743.8,0.989,250
260,745.1,1.01,250
261,746.4,1.014,250
262,747.7,1.014,250
263,749.1,1.063,250
264,750.4,0.999,250
265,751.7,1.06,250
266,753.1,1.096,250
267,754.5,1.064,250
268,755.9,1.103,250
269,757.3,1.068,250
270,758.6,0.986,250
271,759.9,0.998,250
272,761.2,0.998,250
273,762.5,1.001,250
274,763.7,0.983,250
275,764.8,0.718,250
276,765.8,0.711,250
277,766.8,0.713,250
278,767.8,0.712,250
279,768.8,0.722,250
280,769.8,0.719,250
281,770.8,0.711,250
282,771.9,0.72,250
283,772.9,0.726,250
284,773.9,0.72,250
285,774.9,0.706,250
286,775.9,0.7,250
287,776.9,0.715,250
288,777.9,0.712,250
289,779.0,0.714,250
290,780.0,0.711,250
291,781.0,0.713,250
292,782.0,0.71,250
293,783.0,0.706,250
294,784.0,0.712,250
295,785.0,0.713,250
296,786.0,0.72,250
297,787.1,0.72,250
298,788.1,0.711,250
299,789.1,0.715,250
