round_num,elapsed_s,round_dur_s,total_buffers
0,3.4,3.4,250
1,7.3,3.626,250
2,11.1,3.438,250
3,14.7,3.335,250
4,18.5,3.533,250
5,22.3,3.492,250
6,26.0,3.368,250
7,29.8,3.526,250
8,33.4,3.276,250
9,37.1,3.415,250
10,40.8,3.345,250
11,44.5,3.428,250
12,48.3,3.541,250
13,52.2,3.57,250
14,56.1,3.579,250
15,59.7,3.37,250
16,63.6,3.594,250
17,67.5,3.588,250
18,71.3,3.427,250
19,75.0,3.435,250
20,78.8,3.549,250
21,82.8,3.656,250
22,86.9,3.766,250
23,90.7,3.5,250
24,94.6,3.606,250
25,98.0,3.098,250
26,101.6,3.338,250
27,105.2,3.324,250
28,108.8,3.29,250
29,112.3,3.227,250
30,116.0,3.377,250
31,119.7,3.411,250
32,123.4,3.349,250
33,127.0,3.33,250
34,130.6,3.302,250
35,134.1,3.22,250
36,137.9,3.452,250
37,141.7,3.511,250
38,145.2,3.239,250
39,149.0,3.504,250
40,152.8,3.493,250
41,156.6,3.457,250
42,160.3,3.451,250
43,164.0,3.352,250
44,167.7,3.355,250
45,171.4,3.412,250
46,175.1,3.43,250
47,178.9,3.534,250
48,182.8,3.604,250
49,186.8,3.66,250
50,190.8,3.695,250
51,194.6,3.542,250
52,198.4,3.474,250
53,202.3,3.617,250
54,206.1,3.514,250
55,210.1,3.637,250
56,213.9,3.536,250
57,218.1,3.862,250
58,222.2,3.777,250
59,226.3,3.797,250
60,230.0,3.495,250
61,234.0,3.614,250
62,238.2,3.939,250
63,242.3,3.808,250
64,246.3,3.643,250
65,250.3,3.733,250
66,254.5,3.929,250
67,258.8,3.941,250
68,262.7,3.685,250
69,267.0,3.964,250
70,271.1,3.802,250
71,275.2,3.793,250
72,279.2,3.683,250
73,283.0,3.523,250
74,286.8,3.536,250
75,290.2,3.017,250
76,293.6,3.123,250
77,297.2,3.278,250
78,300.7,3.228,250
79,304.3,3.336,250
80,308.0,3.399,250
81,311.8,3.441,250
82,315.4,3.377,250
83,319.2,3.451,250
84,322.9,3.416,250
85,326.6,3.34,250
86,330.1,3.27,250
87,333.8,3.332,250
88,337.4,3.38,250
89,341.1,3.407,250
90,345.0,3.565,250
91,348.8,3.539,250
92,352.6,3.427,250
93,356.4,3.483,250
94,360.1,3.484,250
95,364.1,3.7,250
96,367.9,3.448,250
97,371.6,3.381,250
98,375.2,3.332,250
99,378.9,3.373,250
100,382.4,3.241,250
101,385.8,3.119,250
102,389.3,3.156,250
103,392.8,3.236,250
104,396.5,3.355,250
105,400.0,3.25,250
106,403.6,3.295,250
107,407.2,3.226,250
108,410.8,3.308,250
109,414.4,3.29,250
110,417.9,3.242,250
111,421.5,3.257,250
112,425.1,3.322,250
113,428.8,3.376,250
114,432.4,3.307,250
115,435.8,3.18,250
116,439.6,3.458,250
117,443.3,3.436,250
118,447.0,3.362,250
119,450.7,3.389,250
120,454.4,3.381,250
121,458.0,3.364,250
122,461.8,3.463,250
123,465.6,3.516,250
124,469.6,3.71,250
125,473.3,3.392,250
126,477.0,3.42,250
127,480.8,3.449,250
128,484.5,3.417,250
129,488.4,3.551,250
130,492.6,3.938,250
131,496.8,3.879,250
132,500.5,3.47,250
133,504.3,3.467,250
134,508.3,3.651,250
135,512.4,3.834,250
136,516.8,4.086,250
137,520.9,3.854,250
138,525.2,3.953,250
139,529.5,4.001,250
140,533.4,3.584,250
141,537.5,3.834,250
142,541.5,3.72,250
143,545.5,3.647,250
144,549.4,3.612,250
145,553.4,3.756,250
146,557.7,3.938,250
147,561.8,3.796,250
148,565.8,3.754,250
149,569.8,3.677,250
150,573.4,3.243,250
151,577.0,3.393,250
152,580.7,3.378,250
153,584.6,3.533,250
154,588.3,3.426,250
155,592.0,3.457,250
156,595.6,3.242,250
157,599.4,3.476,250
158,603.0,3.325,250
159,606.7,3.37,250
160,610.3,3.315,250
161,614.1,3.483,250
162,617.8,3.428,250
163,621.6,3.494,250
164,625.2,3.368,250
165,629.0,3.443,250
166,632.6,3.354,250
167,636.4,3.419,250
168,640.1,3.47,250
169,643.9,3.444,250
170,647.9,3.69,250
171,651.6,3.448,250
172,655.6,3.697,250
173,659.4,3.485,250
174,663.4,3.668,250
175,667.2,3.516,250
176,670.9,3.394,250
177,674.5,3.35,250
178,678.2,3.414,250
179,681.9,3.402,250
180,685.6,3.393,250
181,689.4,3.464,250
182,693.3,3.588,250
183,697.0,3.427,250
184,700.8,3.477,250
185,704.8,3.692,250
186,708.6,3.481,250
187,712.3,3.467,250
188,716.2,3.61,250
189,720.0,3.48,250
190,723.8,3.471,250
191,727.6,3.518,250
192,731.4,3.513,250
193,735.4,3.63,250
194,739.3,3.644,250
195,743.1,3.517,250
196,747.2,3.83,250
197,751.3,3.722,250
198,755.3,3.701,250
199,759.0,3.474,250
200,762.7,3.333,250
201,766.3,3.345,250
202,770.0,3.372,250
203,773.9,3.56,250
204,777.7,3.534,250
205,781.3,3.319,250
206,785.0,3.414,250
207,788.8,3.52,250
208,792.7,3.549,250
209,796.4,3.457,250
210,800.2,3.459,250
211,803.9,3.432,250
212,807.7,3.476,250
213,811.6,3.559,250
214,815.4,3.543,250
215,819.3,3.594,250
216,823.1,3.482,250
217,826.9,3.503,250
218,830.8,3.578,250
219,834.7,3.621,250
220,838.6,3.648,250
221,842.7,3.766,250
222,846.6,3.57,250
223,850.6,3.76,250
224,854.7,3.768,250
225,858.2,3.203,250
226,861.9,3.383,250
227,865.6,3.353,250
228,869.4,3.535,250
229,873.1,3.409,250
230,876.8,3.402,250
231,880.4,3.325,250
232,884.1,3.37,250
233,888.0,3.588,250
234,891.8,3.474,250
235,895.5,3.424,250
236,899.2,3.448,250
237,903.0,3.504,250
238,906.8,3.434,250
239,910.6,3.506,250
240,914.4,3.536,250
241,918.1,3.412,250
242,921.9,3.447,250
243,925.6,3.454,250
244,929.4,3.516,250
245,933.3,3.598,250
246,937.1,3.45,250
247,940.9,3.524,250
248,944.9,3.648,250
249,948.7,3.586,250
250,952.7,3.696,250
251,956.7,3.672,250
252,960.8,3.739,250
253,964.8,3.77,250
254,968.8,3.643,250
255,973.0,3.919,250
256,977.0,3.751,250
257,981.1,3.773,250
258,985.0,3.589,250
259,989.1,3.751,250
260,993.1,3.746,250
261,997.0,3.569,250
262,1001.0,3.709,250
263,1004.9,3.598,250
264,1009.0,3.778,250
265,1013.0,3.714,250
266,1017.1,3.825,250
267,1021.2,3.823,250
268,1025.3,3.815,250
269,1029.4,3.81,250
270,1033.5,3.714,250
271,1037.5,3.784,250
272,1041.4,3.578,250
273,1045.4,3.684,250
274,1049.6,3.918,250
275,1053.7,3.773,250
276,1057.7,3.666,250
277,1061.5,3.547,250
278,1065.5,3.654,250
279,1069.3,3.543,250
280,1073.2,3.564,250
281,1077.0,3.563,250
282,1081.1,3.729,250
283,1085.1,3.748,250
284,1089.1,3.701,250
285,1093.0,3.559,250
286,1096.9,3.634,250
287,1100.8,3.604,250
288,1104.8,3.714,250
289,1108.7,3.624,250
290,1112.7,3.679,250
291,1116.8,3.773,250
292,1120.8,3.673,250
293,1124.8,3.723,250
294,1128.6,3.498,250
295,1132.6,3.682,250
296,1136.4,3.546,250
297,1140.3,3.575,250
298,1144.3,3.746,250
299,1148.2,3.591,250
