round_num,elapsed_s,round_dur_s,total_buffers
0,2.3,2.266,250
1,4.7,2.169,250
2,7.2,2.163,250
3,9.7,2.18,250
4,12.2,2.177,250
5,14.7,2.197,250
6,17.1,2.172,250
7,19.6,2.204,250
8,22.7,2.785,250
9,25.5,2.522,250
10,28.3,2.501,250
11,31.2,2.603,250
12,34.0,2.482,250
13,36.9,2.55,250
14,39.8,2.631,250
15,42.8,2.654,250
16,45.7,2.676,250
17,48.7,2.67,250
18,51.7,2.7,250
19,54.7,2.654,250
20,57.6,2.685,250
21,60.5,2.592,250
22,63.5,2.697,250
23,66.5,2.702,250
24,69.5,2.709,250
25,72.1,2.233,250
26,74.6,2.228,250
27,77.1,2.19,250
28,79.6,2.238,250
29,82.2,2.219,250
30,84.7,2.261,250
31,87.2,2.194,250
32,89.7,2.182,250
33,92.2,2.248,250
34,94.7,2.194,250
35,97.2,2.194,250
36,99.8,2.306,250
37,102.4,2.295,250
38,105.0,2.289,250
39,107.7,2.362,250
40,110.3,2.334,250
41,113.0,2.386,250
42,115.5,2.243,250
43,118.0,2.186,250
44,120.7,2.362,250
45,123.6,2.594,250
46,126.4,2.497,250
47,129.1,2.426,250
48,131.9,2.468,250
49,134.8,2.571,250
50,137.3,2.284,250
51,139.8,2.191,250
52,142.3,2.219,250
53,144.8,2.197,250
54,147.4,2.214,250
55,149.9,2.244,250
56,152.4,2.219,250
57,155.0,2.275,250
58,157.7,2.357,250
59,160.2,2.289,250
60,162.8,2.274,250
61,165.4,2.324,250
62,168.3,2.524,250
63,171.0,2.426,250
64,173.6,2.277,250
65,176.2,2.332,250
66,179.0,2.503,250
67,181.9,2.579,250
68,184.6,2.414,250
69,187.2,2.309,250
70,189.9,2.413,250
71,192.8,2.566,250
72,195.6,2.506,250
73,198.5,2.609,250
74,201.4,2.558,250
75,203.9,2.255,250
76,206.4,2.227,250
77,208.9,2.181,250
78,211.4,2.198,250
79,214.0,2.259,250
80,216.5,2.23,250
81,219.0,2.203,250
82,221.5,2.199,250
83,224.1,2.314,250
84,226.7,2.232,250
85,229.2,2.202,250
86,231.6,2.178,250
87,234.1,2.205,250
88,236.8,2.34,250
89,239.3,2.175,250
90,241.8,2.199,250
91,244.3,2.23,250
92,246.8,2.225,250
93,249.4,2.263,250
94,251.9,2.23,250
95,254.4,2.236,250
96,257.0,2.254,250
97,259.6,2.25,250
98,262.1,2.289,250
99,264.7,2.263,250
100,267.8,2.769,250
101,270.8,2.714,250
102,273.8,2.724,250
103,276.9,2.78,250
104,280.1,2.935,250
105,283.2,2.751,250
106,286.3,2.85,250
107,289.4,2.807,250
108,292.6,2.884,250
109,295.9,3.023,250
110,299.3,3.04,250
111,302.5,2.88,250
112,305.6,2.805,250
113,308.5,2.672,250
114,311.4,2.574,250
115,314.4,2.639,250
116,317.3,2.619,250
117,320.3,2.685,250
