Scenario B (fixed): 400 rounds (max 150.0s), 25 buffers x 20 signals (expected monitored_count to stay at 0), 1.0s between rounds -> /home/vagrant/src/moellep/pyepics-testing/docs/camonitor-cliff/results_B.csv
[diagnostic] CAGET_TEST:SIG0:HST0: chid before disconnect() = c_long(784449264), chid after disconnect() = c_long(784449264) (non-None/non-zero here means the channel is still clearable via epics.ca.clear_channel())
[    0.0s] cached=   0 monitored=   0 active=   0 channels=   0 fds=   8 implied=   0.00 MB/s client_rss=  38.72MB server_rss=113.3 latency_p50=30.25
[    1.6s] cached=   0 monitored=   0 active=   0 channels=   1 fds=  11 implied=   0.00 MB/s client_rss=  40.37MB server_rss=113.38 latency_p50=
[    2.6s] cached=   0 monitored=   0 active=   0 channels=   1 fds=  11 implied=   0.00 MB/s client_rss=  40.58MB server_rss=113.38 latency_p50=
-- round 0 done (buffer 0) --
[    3.6s] cached=   0 monitored=   0 active=   0 channels=   1 fds=  11 implied=   0.00 MB/s client_rss=  40.63MB server_rss=113.39 latency_p50=
[    4.6s] cached=   0 monitored=   0 active=   0 channels=   1 fds=  11 implied=   0.00 MB/s client_rss=  40.80MB server_rss=113.41 latency_p50=
[    5.6s] cached=   0 monitored=   0 active=   0 channels=   1 fds=  11 implied=   0.00 MB/s client_rss=  41.01MB server_rss=113.42 latency_p50=30.51
-- round 1 done (buffer 1) --
[    7.0s] cached=   0 monitored=   0 active=   0 channels=   1 fds=  11 implied=   0.00 MB/s client_rss=  41.10MB server_rss=113.43 latency_p50=
[    8.0s] cached=   0 monitored=   0 active=   0 channels=   1 fds=  11 implied=   0.00 MB/s client_rss=  41.22MB server_rss=113.43 latency_p50=
[    9.0s] cached=   0 monitored=   0 active=   0 channels=   1 fds=  11 implied=   0.00 MB/s client_rss=  41.44MB server_rss=113.45 latency_p50=
-- round 2 done (buffer 2) --
[   10.0s] cached=   0 monitored=   0 active=   0 channels=   1 fds=  11 implied=   0.00 MB/s client_rss=  41.58MB server_rss=113.45 latency_p50=
[   11.0s] cached=   0 monitored=   0 active=   0 channels=   1 fds=  11 implied=   0.00 MB/s client_rss=  41.64MB server_rss=113.46 latency_p50=29.58
[   12.3s] cached=   0 monitored=   0 active=   0 channels=   1 fds=  11 implied=   0.00 MB/s client_rss=  41.86MB server_rss=113.46 latency_p50=
[   13.3s] cached=   0 monitored=   0 active=   0 channels=   1 fds=  11 implied=   0.00 MB/s client_rss=  42.05MB server_rss=113.48 latency_p50=
-- round 3 done (buffer 3) --
[   14.3s] cached=   0 monitored=   0 active=   0 channels=   1 fds=  11 implied=   0.00 MB/s client_rss=  42.08MB server_rss=113.48 latency_p50=
[   15.3s] cached=   0 monitored=   0 active=   0 channels=   1 fds=  11 implied=   0.00 MB/s client_rss=  42.26MB server_rss=113.48 latency_p50=
[   16.3s] cached=   0 monitored=   0 active=   0 channels=   1 fds=  11 implied=   0.00 MB/s client_rss=  42.45MB server_rss=113.5 latency_p50=30.74
-- round 4 done (buffer 4) --
[   17.8s] cached=   0 monitored=   0 active=   0 channels=   1 fds=  11 implied=   0.00 MB/s client_rss=  42.55MB server_rss=113.5 latency_p50=
[   18.8s] cached=   0 monitored=   0 active=   0 channels=   1 fds=  11 implied=   0.00 MB/s client_rss=  42.67MB server_rss=113.52 latency_p50=
[   19.8s] cached=   0 monitored=   0 active=   0 channels=   1 fds=  11 implied=   0.00 MB/s client_rss=  42.84MB server_rss=113.52 latency_p50=
-- round 5 done (buffer 5) --
[   20.8s] cached=   0 monitored=   0 active=   0 channels=   1 fds=  11 implied=   0.00 MB/s client_rss=  43.03MB server_rss=113.52 latency_p50=
[   21.8s] cached=   0 monitored=   0 active=   0 channels=   1 fds=  11 implied=   0.00 MB/s client_rss=  43.03MB server_rss=113.52 latency_p50=31.6
[   23.1s] cached=   0 monitored=   0 active=   0 channels=   1 fds=  11 implied=   0.00 MB/s client_rss=  43.24MB server_rss=113.54 latency_p50=
[   24.1s] cached=   0 monitored=   0 active=   0 channels=   1 fds=  11 implied=   0.00 MB/s client_rss=  43.43MB server_rss=113.54 latency_p50=
-- round 6 done (buffer 6) --
