elapsed_s,cached_pv_count,monitored_count,active_count,channel_cache_count,open_fd_count,implied_bytes_per_sec,client_mem_rss_mb,server_mem_rss_mb,latency_p50_ms,latency_p95_ms,latency_p99_ms
0.2,1,1,1,1,8,291200,39.22,113.41,26.97,66.9,67.47
1.9,9,9,9,10,8,2620800,40.2,115.39,,,
3.0,16,16,16,17,8,4659200,40.54,118.52,,,
4.0,20,20,20,21,8,5824000,40.77,122.93,,,
5.1,23,23,23,24,8,6697600,40.91,128.32,,,
6.2,29,29,29,30,8,8444800,41.25,134.58,52.03,72.34,73.68
8.1,36,36,36,37,8,10483200,41.63,147.25,,,
9.1,40,40,40,41,8,11648000,41.87,155.14,,,
10.1,41,41,41,42,8,11939200,41.92,164.03,,,
11.3,47,47,47,48,8,13686400,42.22,175.05,,,
12.3,52,52,52,53,8,15142400,42.45,185.1,47.72,87.75,90.68
14.1,58,58,58,59,8,16889600,42.75,204.55,,,
15.1,60,60,60,61,8,17472000,42.88,216.57,,,
16.3,63,63,63,64,8,18345600,42.99,230.13,,,
17.5,68,68,68,69,8,19801600,43.23,246.39,,,
18.6,72,72,72,73,8,20966400,43.41,259.79,64.53,85.49,88.97
20.7,78,78,78,79,8,22713600,43.71,290.18,,,
21.7,80,80,80,81,8,23296000,43.82,304.75,,,
22.8,82,82,82,83,8,23878400,43.91,320.82,,,
24.0,86,86,86,87,8,25043200,44.09,338.22,,,
25.1,90,90,90,91,8,26208000,44.29,357.32,73.41,96.01,96.22
27.2,95,95,95,96,8,27664000,44.53,392.25,,,
28.4,99,99,99,100,8,28828800,44.71,411.77,,,
29.4,100,100,100,101,8,29120000,44.77,429.26,,,
30.6,103,103,103,104,8,29993600,44.92,449.88,,,
31.8,107,107,107,108,8,31158400,45.11,470.92,84.97,101.19,103.27
34.2,112,112,112,113,8,32614400,45.35,516.87,,,
35.4,116,116,116,117,8,33779200,45.53,539.96,,,
36.7,120,120,120,121,8,34944000,45.71,564.55,,,
38.0,121,121,121,122,8,35235200,45.76,591.06,,,
39.0,124,124,124,125,8,36108800,45.91,612.12,97.49,121.2,122.06
41.6,129,129,129,130,8,37564800,46.15,665.38,,,
42.8,132,132,132,133,8,38438400,46.29,688.55,,,
43.9,135,135,135,136,8,39312000,46.43,712.3,,,
44.9,138,138,138,139,8,40185600,46.58,734.52,,,
45.9,140,140,140,141,8,40768000,46.7,756.93,94.59,113.48,119.19
47.9,143,143,143,144,8,41641600,46.83,801.91,,,
49.0,146,146,146,147,8,42515200,46.98,826.76,,,
50.1,149,149,149,150,8,43388800,47.12,851.15,,,
51.2,152,152,152,153,8,44262400,47.26,877.98,,,
52.3,155,155,155,156,8,45136000,47.4,905.01,102.48,129.34,131.33
54.9,159,159,159,160,8,46300800,47.59,966.35,,,
55.9,160,160,160,161,8,46592000,47.67,990.66,,,
57.2,162,162,162,163,8,47174400,47.73,1021.52,,,
58.4,165,165,165,166,8,48048000,47.88,1050.7,,,
59.6,168,168,168,169,8,48921600,48.02,1080.29,107.08,141.38,147.5
62.3,172,172,172,173,8,50086400,48.25,1148.17,,,
63.5,175,175,175,176,8,50960000,48.38,1181.18,,,
64.8,178,178,178,179,8,51833600,48.52,1214.41,,,
65.9,180,180,180,181,8,52416000,48.64,1239.71,,,
67.2,181,181,181,182,8,52707200,48.67,1274.08,124.45,154.92,157.76
70.2,185,185,185,186,8,53872000,48.85,1351.97,,,
71.5,188,188,188,189,8,54745600,49.0,1386.89,,,
72.8,191,191,191,192,8,55619200,49.13,1422.38,,,
74.1,194,194,194,195,8,56492800,49.27,1456.89,,,
75.4,197,197,197,198,8,57366400,49.42,1492.63,132.97,159.01,160.52
78.2,200,200,200,201,8,58240000,49.58,1568.01,,,
79.6,201,201,201,202,8,58531200,49.63,1601.9,,,
81.0,204,204,204,205,8,59404800,49.77,1642.48,,,
82.5,207,207,207,208,8,60278400,49.92,1683.6,,,
83.9,210,210,210,211,8,61152000,50.05,1724.13,132.1,157.5,162.28
86.8,213,213,213,214,8,62025600,50.2,1805.21,,,
88.2,216,216,216,217,8,62899200,50.34,1843.75,,,
89.7,219,219,219,220,8,63772800,50.47,1886.91,,,
90.7,220,220,220,221,8,64064000,50.54,1916.21,,,
91.7,221,221,221,222,8,64355200,50.57,1946.64,151.49,170.81,174.58
94.8,224,224,224,225,8,65228800,50.71,2035.39,,,
95.9,226,226,226,227,8,65811200,50.8,2065.88,,,
96.9,228,228,228,229,8,66393600,50.9,2095.68,,,
98.0,230,230,230,231,8,66976000,50.99,2126.2,,,
99.0,232,232,232,233,8,67558400,51.09,2156.53,149.34,170.07,171.7
102.6,236,236,236,237,8,68723200,51.31,2260.76,,,
103.6,238,238,238,239,8,69305600,51.4,2293.3,,,
104.7,240,240,240,241,8,69888000,51.5,2323.89,,,
106.3,241,241,241,242,8,70179200,51.54,2371.3,,,
107.4,243,243,243,244,8,70761600,51.64,2403.53,150.73,176.35,184.37
110.8,246,246,246,247,8,71635200,51.78,2501.14,,,
111.9,248,248,248,249,8,72217600,51.87,2535.21,,,
113.1,250,250,250,251,8,72800000,51.97,2571.62,,,
114.3,252,252,252,253,8,73382400,52.06,2606.36,,,
115.4,254,254,254,255,8,73964800,52.15,2640.1,152.54,169.92,170.62
118.8,257,257,257,258,8,74838400,52.3,2742.08,,,
120.0,259,259,259,260,8,75420800,52.39,2776.84,,,
121.0,260,260,260,261,8,75712000,52.46,2808.24,,,
122.2,261,261,261,262,8,76003200,52.5,2845.91,,,
123.4,263,263,263,264,8,76585600,52.59,2883.81,160.5,183.58,184.43
126.9,266,266,266,267,8,77459200,52.74,2989.54,,,
128.1,268,268,268,269,8,78041600,52.83,3027.52,,,
129.3,270,270,270,271,8,78624000,52.92,3063.85,,,
130.5,272,272,272,273,8,79206400,53.02,3101.59,,,
131.8,274,274,274,275,8,79788800,53.11,3140.75,160.91,181.94,184.94
135.3,277,277,277,278,8,80662400,53.25,3251.13,,,
136.8,279,279,279,280,8,81244800,53.34,3289.62,,,
137.8,280,280,280,281,8,81536000,53.42,3321.72,,,
139.1,281,281,281,282,8,81827200,53.45,3362.98,,,
