elapsed_s,cached_pv_count,monitored_count,active_count,channel_cache_count,open_fd_count,implied_bytes_per_sec,client_mem_rss_mb,server_mem_rss_mb,latency_p50_ms,latency_p95_ms,latency_p99_ms
0.0,0,0,0,0,8,0,38.72,113.3,30.25,32.77,33.11
1.6,0,0,0,1,11,0,40.37,113.38,,,
2.6,0,0,0,1,11,0,40.58,113.38,,,
3.6,0,0,0,1,11,0,40.63,113.39,,,
4.6,0,0,0,1,11,0,40.8,113.41,,,
5.6,0,0,0,1,11,0,41.01,113.42,30.51,31.65,31.65
7.0,0,0,0,1,11,0,41.1,113.43,,,
8.0,0,0,0,1,11,0,41.22,113.43,,,
9.0,0,0,0,1,11,0,41.44,113.45,,,
10.0,0,0,0,1,11,0,41.58,113.45,,,
11.0,0,0,0,1,11,0,41.64,113.46,29.58,30.22,30.37
12.3,0,0,0,1,11,0,41.86,113.46,,,
13.3,0,0,0,1,11,0,42.05,113.48,,,
14.3,0,0,0,1,11,0,42.08,113.48,,,
15.3,0,0,0,1,11,0,42.26,113.48,,,
16.3,0,0,0,1,11,0,42.45,113.5,30.74,33.31,33.88
17.8,0,0,0,1,11,0,42.55,113.5,,,
18.8,0,0,0,1,11,0,42.67,113.52,,,
19.8,0,0,0,1,11,0,42.84,113.52,,,
20.8,0,0,0,1,11,0,43.03,113.52,,,
21.8,0,0,0,1,11,0,43.03,113.52,31.6,32.96,33.16
23.1,0,0,0,1,11,0,43.24,113.54,,,
24.1,0,0,0,1,11,0,43.43,113.54,,,
25.1,0,0,0,1,11,0,43.5,113.55,,,
26.1,0,0,0,1,11,0,43.62,113.55,,,
27.1,0,0,0,1,11,0,43.82,113.56,29.97,31.81,31.82
28.5,0,0,0,1,11,0,43.98,113.57,,,
29.5,0,0,0,1,11,0,44.0,113.57,,,
30.5,0,0,0,1,11,0,44.23,113.58,,,
31.5,0,0,0,1,11,0,44.42,113.6,,,
32.5,0,0,0,1,11,0,44.46,113.6,31.7,33.17,33.29
33.8,0,0,0,1,11,0,44.65,113.61,,,
34.8,0,0,0,1,11,0,44.84,113.62,,,
35.8,0,0,0,1,11,0,44.93,113.62,,,
36.8,0,0,0,1,11,0,45.03,113.62,,,
37.8,0,0,0,1,11,0,45.23,113.64,31.66,33.3,33.37
39.1,0,0,0,1,11,0,45.41,113.65,,,
40.1,0,0,0,1,11,0,45.44,113.65,,,
41.1,0,0,0,1,11,0,45.63,113.66,,,
42.1,0,0,0,1,11,0,45.82,113.67,,,
43.1,0,0,0,1,11,0,45.89,113.67,30.58,32.23,32.23
44.4,0,0,0,1,11,0,46.05,113.68,,,
45.4,0,0,0,1,11,0,46.26,113.7,,,
46.4,0,0,0,1,11,0,46.36,113.7,,,
47.4,0,0,0,1,11,0,46.46,113.7,,,
48.4,0,0,0,1,11,0,46.65,113.71,31.52,44.91,50.61
49.8,0,0,0,1,11,0,46.84,113.73,,,
50.8,0,0,0,1,11,0,46.89,113.73,,,
51.8,0,0,0,1,11,0,47.1,113.73,,,
52.8,0,0,0,1,11,0,47.3,113.74,,,
53.8,0,0,0,1,11,0,47.3,113.74,26.97,28.58,28.71
55.2,0,0,0,1,11,0,47.55,113.75,,,
56.2,0,0,0,1,11,0,47.76,113.76,,,
57.2,0,0,0,1,11,0,47.79,113.76,,,
58.2,0,0,0,1,11,0,47.98,113.78,,,
59.2,0,0,0,1,11,0,48.19,113.78,26.95,28.62,28.67
60.5,0,0,0,1,11,0,48.26,113.79,,,
61.5,0,0,0,1,11,0,48.45,113.83,,,
62.5,0,0,0,1,11,0,48.68,113.84,,,
63.5,0,0,0,1,11,0,48.77,113.85,,,
64.5,0,0,0,1,11,0,48.89,113.85,28.38,29.52,29.76
65.8,0,0,0,1,11,0,49.13,113.86,,,
66.8,0,0,0,1,11,0,49.24,113.87,,,
67.8,0,0,0,1,11,0,49.34,113.88,,,
68.8,0,0,0,1,11,0,49.55,113.89,,,
69.8,0,0,0,1,11,0,49.71,113.89,27.25,28.17,28.19
71.1,0,0,0,1,11,0,49.84,113.9,,,
72.1,0,0,0,1,11,0,50.05,113.91,,,
73.1,0,0,0,1,11,0,50.2,113.91,,,
74.1,0,0,0,1,11,0,50.26,113.92,,,
75.1,0,0,0,1,11,0,50.48,113.93,27.21,28.08,28.3
