elapsed_s,cached_pv_count,monitored_count,active_count,channel_cache_count,open_fd_count,implied_bytes_per_sec,client_mem_rss_mb,server_mem_rss_mb,latency_p50_ms,latency_p95_ms,latency_p99_ms
0.0,0,0,0,0,8,0,38.66,113.23,32.96,39.04,39.92
1.7,0,0,0,1,11,0,40.13,113.3,,,
2.7,0,0,0,1,11,0,40.13,113.33,,,
3.7,0,0,0,1,11,0,40.14,113.34,,,
4.7,0,0,0,1,10,0,40.14,113.34,,,
5.7,0,0,0,1,11,0,40.14,113.34,35.51,37.92,38.89
7.1,0,0,0,1,11,0,40.15,113.34,,,
8.1,0,0,0,1,11,0,40.15,113.34,,,
9.1,0,0,0,1,10,0,40.15,113.34,,,
10.1,0,0,0,1,11,0,40.15,113.34,,,
11.1,0,0,0,1,11,0,40.16,113.34,34.54,36.03,36.33
12.5,0,0,0,1,11,0,40.16,113.34,,,
13.5,0,0,0,1,10,0,40.17,113.34,,,
14.5,0,0,0,1,10,0,40.17,113.34,,,
15.5,0,0,0,1,11,0,40.17,113.34,,,
16.5,0,0,0,1,10,0,40.17,113.34,35.55,36.95,37.04
18.0,0,0,0,1,11,0,40.17,113.35,,,
19.0,0,0,0,1,10,0,40.18,113.35,,,
20.0,0,0,0,1,11,0,40.18,113.35,,,
21.0,0,0,0,1,11,0,40.18,113.35,,,
22.0,0,0,0,1,11,0,40.18,113.36,34.89,36.51,36.68
23.6,0,0,0,1,11,0,40.18,113.36,,,
24.6,0,0,0,1,10,0,40.18,113.36,,,
25.6,0,0,0,1,11,0,40.18,113.36,,,
26.6,0,0,0,1,11,0,40.18,113.36,,,
27.6,0,0,0,1,11,0,40.19,113.36,35.2,37.76,37.88
29.1,0,0,0,1,10,0,40.19,113.36,,,
30.1,0,0,0,1,11,0,40.19,113.36,,,
31.1,0,0,0,1,11,0,40.19,113.36,,,
32.1,0,0,0,1,11,0,40.19,113.36,,,
33.1,0,0,0,1,11,0,40.2,113.36,35.92,37.22,37.36
34.6,0,0,0,1,10,0,40.2,113.36,,,
35.6,0,0,0,1,11,0,40.2,113.37,,,
36.6,0,0,0,1,11,0,40.2,113.37,,,
37.6,0,0,0,1,10,0,40.2,113.37,,,
38.6,0,0,0,1,10,0,40.2,113.37,36.93,38.39,38.43
40.0,0,0,0,1,11,0,40.2,113.37,,,
41.0,0,0,0,1,10,0,40.2,113.37,,,
42.0,0,0,0,1,11,0,40.2,113.38,,,
43.0,0,0,0,1,10,0,40.2,113.38,,,
44.0,0,0,0,1,10,0,40.2,113.38,36.4,37.47,37.63
45.5,0,0,0,1,11,0,40.21,113.38,,,
